0:0:2 | [CMD] ahmet55(6) => /buybus
10:30:0 | [CMD] eren1616(6) => /a yeni açýlmýþ 4-5 tane var lv de
10:30:8 | [CMD] eren1616(6) => /atamir
10:30:23 | [CMD] nik0tin(10) => /a bende var
10:30:34 | testere151(8) oyuna girdi [IP: 88.230.135.15]
10:30:35 | [CMD] nik0tin(10) => /a arkadaþa lazýmdý bug varmýþ çaðýrdý 
10:30:44 | 
10:30:46 | {FFCC00}testere151(8) {FFFFFF}Kamyoncu olarak spawn oldu.
10:30:50 | [CMD] testere151(8) => /admgiris
10:30:51 | [CMD] eren1616(6) => /a aha gönlümün efendisi girdi
10:30:53 | [CMD] testere151(8) => /sa
10:30:55 | [CMD] eren1616(6) => /as
10:30:56 | [CMD] [A.s.i]KraL(7) => /as
10:30:58 | [CMD] [A.s.i]KraL(7) => /admins
10:31:2 | [CMD] testere151(8) => /srespawncars
10:31:2 | [CMD] eren1616(6) => /modifiye
10:31:5 | [CMD] nik0tin(10) => /as
10:31:10 | [CMD] testere151(8) => /sirket
10:31:12 | [CMD] [A.s.i]KraL(7) => /pm 8 testere ban temizligi yapar mýsýn ?
10:31:27 | [CMD] testere151(8) => /pm 7 neden
10:31:34 | [CMD] nik0tin(10) => /a res atcan mý :D 
10:31:36 | [CMD] [A.s.i]KraL(7) => /pm 8 Forumda Asi_Kaptan Basvurdu 
10:31:44 | [CMD] testere151(8) => /a sancak beyden izin almam lazým
10:31:48 | [CMD] [A.s.i]KraL(7) => /pm 8 bi bakarsan iyi olur
10:31:51 | [CMD] nik0tin(10) => /a açýlmazsa kötü 
10:32:16 | [CMD] nik0tin(10) => /atamir 
10:32:17 | [CMD] [A.s.i]KraL(7) => /arac
10:32:21 | [CMD] [A.s.i]KraL(7) => /araba
10:32:25 | [CMD] [A.s.i]KraL(7) => /rescue
10:32:25 | [CMD] nik0tin(10) => /a iþyerleride alýnmýyormuþ 
10:32:33 | [CMD] eren1616(6) => /a aynn 
10:32:35 | [CMD] eren1616(6) => /atamir
10:32:51 | [CMD] testere151(8) => /pm 7 bakarým bi
10:33:7 | [CMD] testere151(8) => /a þirket aracýmýz yok ln
10:33:10 | [CMD] [A.s.i]KraL(7) => /pm 8 sana zahmet ac o baný 
10:33:10 | [CMD] testere151(8) => /araba
10:33:17 | [CMD] nik0tin(10) => /a þirketin biri gitmiþ ondan galiba 
10:33:23 | [CMD] testere151(8) => /a :/
10:33:25 | [CMD] nik0tin(10) => /a redline gitmiþ 
10:33:32 | [CMD] testere151(8) => /bangor Asi_Kaptan
10:33:38 | [CMD] nik0tin(10) => /a silinince þirketler buga giriyo 
10:34:10 | [CMD] [A.s.i]KraL(7) => /rentcar
10:34:17 | [CMD] eren1616(6) => /ev 
10:34:32 | [CMD] [A.s.i]KraL(7) => /galeri
10:35:36 | [CMD] nik0tin(10) => /atamir 
10:36:6 | [CMD] [A.s.i]KraL(7) => /pm 8 baktun mu 
10:36:20 | [CMD] [A.s.i]KraL(7) => /modifiye
10:36:23 | {FFCC00}eren1616(6) {FFFFFF}Kamyoncu olarak spawn oldu.
10:36:29 | [CMD] eren1616(6) => /cleaupcars
10:36:40 | [CMD] eren1616(6) => /cleanupcars
10:36:46 | [CMD] eren1616(6) => /rescye
10:36:49 | [CMD] eren1616(6) => /rescue
10:36:52 | H.R.N.(9) oyuna girdi [IP: 46.2.99.207]
10:37:4 | [CMD] testere151(8) => /pm 7 ban sabit
10:37:6 | 
10:37:14 | [CMD] [A.s.i]KraL(7) => /pm 8 acýlmýycak mý ?
10:37:19 | [CMD] testere151(8) => /pm 7 hyr
10:37:25 | [CMD] [A.s.i]KraL(7) => /pm 8 sebep ?
10:37:29 | H.R.N.(9) Mafya olarak spawn oldu.
10:37:32 | [CMD] H.R.N.(9) => /sa
10:37:35 | [CMD] [A.s.i]KraL(7) => /as
10:37:37 | [CMD] nik0tin(10) => /as
10:37:38 | [CMD] eren1616(6) => /car infer 0 0
10:37:40 | [CMD] testere151(8) => /as
10:37:45 | [CMD] nik0tin(10) => /araba
10:37:59 | [CMD] nik0tin(10) => /araba
10:38:2 | [CMD] H.R.N.(9) => /sac
10:38:6 | [CMD] [A.s.i]KraL(7) => /pm 8 testere 
10:38:12 | [CMD] H.R.N.(9) => /modifiye
10:38:27 | [CMD] H.R.N.(9) => /admins
10:38:49 | [CMD] [A.s.i]KraL(7) => /pm 8 ?
10:39:4 | [CMD] H.R.N.(9) => /stats
10:39:14 | [CMD] nik0tin(10) => /araba
10:39:18 | [CMD] testere151(8) => /pm 7 reklam dan ban yemiþ ban sabit
10:39:32 | [CMD] testere151(8) => /pm 7 pm bile olsa sw ismi vermek yasaktýr
10:39:45 | [CMD] nik0tin(10) => /araba
10:39:48 | [CMD] eren1616(6) => /kemer
10:39:49 | [CMD] [A.s.i]KraL(7) => /pm 8 oyle diyorsunda adamlar arkadas ama ?
10:39:57 | [CMD] eren1616(6) => /atami
10:39:58 | [CMD] eren1616(6) => /atamir
10:40:2 | [CMD] testere151(8) => /pm 7 arkadaþ olabilir
10:40:11 | [CMD] testere151(8) => /pm 7 server ismi vermek yasak
10:40:16 | [CMD] [A.s.i]KraL(7) => /pm 8 senden birþey isteyeyim o zaman
10:40:32 | [CMD] nik0tin(10) => /araba
10:40:36 | [CMD] nik0tin(10) => /modifiye 
10:40:51 | [CMD] [A.s.i]KraL(7) => /pm 8 bana 8 m borc verir misin
10:40:57 | [CMD] testere151(8) => /pm 7 hyr
10:41:4 | [CMD] nik0tin(10) => /god 
10:41:5 | [CMD] [A.s.i]KraL(7) => /pm 8 neden ?
10:41:20 | [CMD] testere151(8) => /uyar 7 adminden para istemek yasak
10:41:36 | [CMD] eren1616(6) => /god
10:41:41 | [CMD] [A.s.i]KraL(7) => /pm 8 borc dedik arkadas saydýk uzerine warn yedik mk
10:41:46 | [LOCAL]nik0tin(10): bozok nakliyatýn þirket aracý :D 
10:41:46 | [CMD] nik0tin(10) => /l bozok nakliyatýn þirket aracý :D 
10:41:49 | [LOCAL]testere151(8): QW:e
10:41:49 | [CMD] testere151(8) => /l QW:e
10:42:1 | [CMD] H.R.N.(9) => /r 4 tane kasa kaldý çývdýrýyorum
10:42:7 | [CMD] eren1616(6) => /evc
10:42:8 | [CMD] eren1616(6) => /ev
10:42:11 | [A.s.i]KraL(7): Onurlandýk Valla Bugun ;)
10:42:12 | [CMD] testere151(8) => /r idleri biliyomusun 
10:42:14 | [CMD] nik0tin(10) => /r yak bi sigara geçer 
10:42:15 | [CMD] eren1616(6) => /ev
10:42:20 | [CMD] eren1616(6) => /ev
10:42:20 | [CMD] testere151(8) => /r kasalarýn
10:42:29 | [CMD] nik0tin(10) => /r bende tüm kordinatlarý var :D 
10:42:31 | [CMD] H.R.N.(9) => /r valla karýþýk topladým :D
10:42:34 | [CMD] testere151(8) => /r :D
10:42:40 | [CMD] [A.s.i]KraL(7) => /pm 9 s.a
10:42:46 | [CMD] H.R.N.(9) => /pm 7 as
10:42:46 | [CMD] testere151(8) => /r ben de harita var qW:E
10:42:51 | [LOCAL]nik0tin(10): hepsinin kordinatlar save yapýp çekmiþler :D 
10:42:51 | [CMD] nik0tin(10) => /l hepsinin kordinatlar save yapýp çekmiþler :D 
10:42:51 | [CMD] H.R.N.(9) => /r hoayda
10:43:9 | [CMD] [A.s.i]KraL(7) => /pm 9 H.R.N Bana 8m Borc Verir Misin
10:43:19 | [CMD] testere151(8) => /r bütün hepsinin yerini biliyorum
10:43:22 | [CMD] H.R.N.(9) => /pm 7 para yokkk
10:43:29 | [CMD] testere151(8) => /r ;)
10:43:40 | [CMD] [A.s.i]KraL(7) => /pm 9 emin misin server zenginlerindensýn paran yok garip
10:43:45 | [CMD] H.R.N.(9) => /r ben lv de 4 tane buldum
10:43:46 | [CMD] testere151(8) => /god
10:43:49 | [CMD] testere151(8) => /kemer
10:43:49 | [CMD] [A.s.i]KraL(7) => /pm 10 s.a
10:43:55 | [CMD] nik0tin(10) => /pm 7 as 
10:44:16 | [CMD] nik0tin(10) => /atamir 
10:44:22 | [SWAT]DeaD[POH](11) oyuna girdi [IP: 158.181.43.227]
10:44:27 | [LOCAL]nik0tin(10): sýradan para istiyo :D 
10:44:27 | [CMD] nik0tin(10) => /l sýradan para istiyo :D 
10:44:31 | [CMD] [A.s.i]KraL(7) => /pm 10 niko abi bize borç lazim dükkan alcam
10:44:32 | [CMD] H.R.N.(9) => /goto 8
10:44:33 | [CMD] testere151(8) => /r lv de 6-7 tane var 
10:44:35 | 
10:44:36 | [CMD] H.R.N.(9) => /goto 8
10:44:39 | [CMD] H.R.N.(9) => /goto 8
10:44:40 | 
10:44:44 | [CMD] H.R.N.(9) => /goto 8
10:44:45 | [CMD] [SWAT]DeaD[POH](11) => /sa
10:44:47 | [CMD] eren1616(6) => /as
10:44:48 | [CMD] [A.s.i]KraL(7) => /mslek
10:44:48 | [CMD] nik0tin(10) => /as
10:44:48 | [CMD] H.R.N.(9) => /otur
10:44:49 | [CMD] H.R.N.(9) => /otur
10:44:50 | [CMD] H.R.N.(9) => /as
10:44:51 | [CMD] [A.s.i]KraL(7) => /melsek
10:44:51 | [CMD] [SWAT]DeaD[POH](11) => /pm 9 hrn
10:44:53 | [CMD] [A.s.i]KraL(7) => /meslek
10:44:56 | [CMD] eren1616(6) => /a gene geldi yavþk 
10:44:56 | [CMD] nik0tin(10) => /pm 7 param yok benim harcadým 
10:44:57 | [CMD] H.R.N.(9) => /pm 11 he
10:44:58 | {FFCC00}[A.s.i]KraL(7) {FFFFFF}Kamyoncu olarak spawn oldu.
10:45:0 | [CMD] [A.s.i]KraL(7) => /as
10:45:1 | [CMD] testere151(8) => /a :/
10:45:3 | [CMD] testere151(8) => /as
10:45:4 | [CMD] [A.s.i]KraL(7) => /rescuer
10:45:6 | [CMD] [A.s.i]KraL(7) => /rescue
10:45:9 | [CMD] nik0tin(10) => /a yavþak deðil :D 
10:45:10 | [CMD] [SWAT]DeaD[POH](11) => /pm 9 bak bana cok acil ama acil para lazim
10:45:16 | [CMD] testere151(8) => /a gavat qwe
10:45:17 | [CMD] H.R.N.(9) => /pm 11 yani
10:45:19 | [CMD] eren1616(6) => /a adam mk diyor bana diyor sana küfür etti
10:45:20 | [CMD] [SWAT]DeaD[POH](11) => /pm 9 bir adama borcum var vermessem banlanirim
10:45:23 | [CMD] eren1616(6) => /atamir
10:45:23 | [CMD] [A.s.i]KraL(7) => /pm 10 ok
10:45:26 | [CMD] nik0tin(10) => /a hepsinin önünde bayrak sallayaný :D 
10:45:26 | [CMD] [SWAT]DeaD[POH](11) => /pm 9 bana borc versene
10:45:29 | [CMD] eren1616(6) => /a :D
10:45:36 | [CMD] [A.s.i]KraL(7) => /rescue
10:45:39 | [CMD] H.R.N.(9) => /pm 11 veremem sþz sözleþtinizmi bugün herkes para istiyo
10:45:42 | [CMD] [A.s.i]KraL(7) => /meslek
10:45:47 | {FFCC00}[A.s.i]KraL(7) {FFFFFF}Pilot olarak spawn oldu.
10:45:52 | [CMD] [A.s.i]KraL(7) => /admins
10:45:54 | [CMD] [SWAT]DeaD[POH](11) => /pm 9 Ne diyeyim ama para acildi
10:46:0 | [CMD] [A.s.i]KraL(7) => /saat 1
10:46:2 | [CMD] [A.s.i]KraL(7) => /hava 11
10:46:6 | [SWAT]DeaD[POH](11): arkadaslar bana borc vere bilen varmi
10:46:8 | [CMD] [SWAT]DeaD[POH](11) => /admins
10:46:11 | [LOCAL]testere151(8): gavata bak para istiyir Q:WE
10:46:11 | [CMD] testere151(8) => /l gavata bak para istiyir Q:WE
10:46:14 | [SWAT]DeaD[POH](11): testere
10:46:17 | testere151(8): ?
10:46:19 | [LOCAL]H.R.N.(9): bendende :D istedi
10:46:19 | [CMD] H.R.N.(9) => /l bendende :D istedi
10:46:20 | [CMD] nik0tin(10) => /cevir
10:46:21 | [SWAT]DeaD[POH](11): konuya baktinmi
10:46:23 | [LOCAL]nik0tin(10): :D 
10:46:23 | [CMD] nik0tin(10) => /l :D 
10:46:23 | [CMD] H.R.N.(9) => /goto 8
10:46:26 | [CMD] H.R.N.(9) => /goto 8
10:46:27 | [CMD] nik0tin(10) => /atamir 
10:46:34 | testere151(8): hangi konuya
10:46:35 | [CMD] H.R.N.(9) => /as
10:46:37 | [CMD] H.R.N.(9) => /otur
10:46:41 | [SWAT]DeaD[POH](11): Yonetici sikayet
10:46:44 | [CMD] [SWAT]DeaD[POH](11) => /meslek
10:46:45 | eren1616(6): dead
10:46:46 | [CMD] testere151(8) => /a pü dj yetkisi kalmýþ bende
10:46:47 | {FFCC00}[SWAT]DeaD[POH](11) {FFFFFF}Polis olarak spawn oldu.
10:46:49 | [SWAT]DeaD[POH](11): efm
10:46:56 | [CMD] testere151(8) => /sac
10:46:59 | eren1616(6): herkese sorma konuda gerekli cevao var
10:47:3 | nik0tin(10): kimi ettin yine þikayet 
10:47:7 | [SWAT]DeaD[POH](11): a6 da ondan
10:47:8 | eren1616(6): ayrýca kadir rehber yönetimi
10:47:15 | eren1616(6): hüseyin dj yönetimi
10:47:18 | [CMD] [SWAT]DeaD[POH](11) => /yonetim
10:47:28 | eren1616(6): ve zaten hüseyin konuya yazmýþ
10:47:38 | [CMD] H.R.N.(9) => /animkapat
10:47:38 | [CMD] nik0tin(10) => /araba 
10:47:40 | [CMD] testere151(8) => /a yönetici þikayete a6 ve a7 bakabilir yani ben
10:47:49 | [SWAT]DeaD[POH](11): yazmismi
10:47:53 | [CMD] eren1616(6) => /a hyr
10:47:59 | [CMD] [SWAT]DeaD[POH](11) => /afk
10:48:0 | [CMD] eren1616(6) => /a dj þikayeti açtý bu mal
10:48:2 | [CMD] [SWAT]DeaD[POH](11) => /geldim
10:48:6 | [SWAT]DeaD[POH](11): bi bakayim
10:48:8 | [CMD] testere151(8) => /a hm
10:48:9 | [CMD] eren1616(6) => /a hüseyin gerek yapýlcak dedi
10:48:11 | [SWAT]DeaD[POH](11): afk ben
10:48:14 | [CMD] eren1616(6) => /a hala soruyo sana
10:48:14 | [CMD] nik0tin(10) => /a hüseyin çýlgýn bakar 
10:48:17 | [CMD] [SWAT]DeaD[POH](11) => /meslek
10:48:22 | {FFCC00}[SWAT]DeaD[POH](11) {FFFFFF}Kamyoncu olarak spawn oldu.
10:48:25 | [CMD] [SWAT]DeaD[POH](11) => /afk
10:48:27 | [CMD] eren1616(6) => /a niko hüso dj yöetim bakmasý lazým ztn :D
10:48:27 | [CMD] [A.s.i]KraL(7) => /rescue
10:48:27 | [CMD] testere151(8) => /a dj se hiseyin baksýn
10:48:35 | [CMD] nik0tin(10) => /a o ibne birinin görevi gitsin ben götümü açýp güleyim derdinde 
10:48:35 | [CMD] eren1616(6) => /a kk oldu ztn
10:48:56 | [CMD] testere151(8) => /dtemizle
10:49:0 | [CMD] testere151(8) => /asay2 k 
10:49:3 | [CMD] eren1616(6) => /a amk malý bir dj i banlatcam diye havalra uçuyor
10:49:7 | [CMD] testere151(8) => /asay2 k 
10:49:10 | [CMD] testere151(8) => /asay2 k 
10:49:12 | [LOCAL]nik0tin(10): a1 ken benide tehdit ediyodu bittin diyodu hiç bi konu monu açamadý 
10:49:12 | [CMD] nik0tin(10) => /l a1 ken benide tehdit ediyodu bittin diyodu hiç bi konu monu açamadý 
10:49:23 | [LOCAL]testere151(8): sktir et boþver
10:49:23 | [CMD] testere151(8) => /l sktir et boþver
10:49:29 | Dark_Alone_(12) oyuna girdi [IP: 149.140.21.204]
10:49:35 | [LOCAL]nik0tin(10): yanlýþ yazdým 
10:49:35 | [CMD] nik0tin(10) => /l yanlýþ yazdým 
10:49:38 | 
10:49:42 | [SWAT]DeaD[POH](11): eren
10:49:45 | [LOCAL]H.R.N.(9): :D
10:49:45 | [CMD] H.R.N.(9) => /l :D
10:49:46 | eren1616(6): he
10:49:48 | [LOCAL]nik0tin(10): karýþtý sohbetler :D 
10:49:48 | [CMD] nik0tin(10) => /l karýþtý sohbetler :D 
10:49:51 | {FFCC00}Dark_Alone_(12) Otobus Soforu olarak spawn oldu.
10:49:53 | Dark_Alone_(12): sa
10:49:54 | [CMD] testere151(8) => /a eren siksin seni mk
10:49:54 | [SWAT]DeaD[POH](11): gerekli islem ne mesela
10:49:56 | [CMD] eren1616(6) => /as
10:49:57 | [CMD] Dark_Alone_(12) => /gobus
10:49:58 | [CMD] nik0tin(10) => /as 
10:49:59 | [CMD] eren1616(6) => /a :DAS:AD
10:50:1 | [CMD] H.R.N.(9) => /as
10:50:6 | [CMD] Dark_Alone_(12) => /icerigir
10:50:9 | [CMD] [SWAT]DeaD[POH](11) => /gc sa
10:50:9 | [CMD] testere151(8) => /a erenin sikini ye sen
10:50:10 | [CMD] eren1616(6) => /a ananýn amý emi gerekli iþlem
10:50:10 | nik0tin(10): @11 beklemede kal görürsün 
10:50:11 | [CMD] Dark_Alone_(12) => /isyerýmenu
10:50:13 | [CMD] [A.s.i]KraL(7) => /icerigir
10:50:16 | [CMD] Dark_Alone_(12) => /isyerimenu
10:50:16 | [CMD] [A.s.i]KraL(7) => /isyermený
10:50:17 | [SWAT]DeaD[POH](11): .
10:50:19 | [CMD] [A.s.i]KraL(7) => /isyermenu
10:50:20 | [CMD] [SWAT]DeaD[POH](11) => /rescue
10:50:23 | [LOCAL]H.R.N.(9): bu dead neyin kafasýný yaþýyo aq
10:50:23 | [CMD] H.R.N.(9) => /l bu dead neyin kafasýný yaþýyo aq
10:50:27 | [CMD] Dark_Alone_(12) => /gobus
10:50:30 | [CMD] [A.s.i]KraL(7) => /isyerimenu
10:50:32 | [CMD] Dark_Alone_(12) => /icerigir
10:50:33 | [LOCAL]testere151(8): salla boþver 
10:50:33 | [CMD] testere151(8) => /l salla boþver 
10:50:35 | [CMD] Dark_Alone_(12) => /isyerimenu
10:50:40 | [CMD] Dark_Alone_(12) => /icerigir
10:50:45 | [CMD] Dark_Alone_(12) => /isyerimenu
10:50:58 | [CMD] [SWAT]DeaD[POH](11) => /adminol
10:50:58 | [LOCAL]nik0tin(10): biz bile çözeedik :D 
10:50:58 | [CMD] nik0tin(10) => /l biz bile çözeedik :D 
10:50:59 | [SWAT]DeaD[POH](11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:51:1 | Dark_Alone_(12): v
10:51:1 | [A.s.i]KraL(7): bb
10:51:2 | [CMD] eren1616(6) => /a allah rýzasý için bana ailevi küfür ette 15 gün ban atayým
10:51:2 | Dark_Alone_(12): BB
10:51:2 | [LOCAL]H.R.N.(9): ana bi highyway bakmadým dorseye orda yoksa bütün sw beni silksin
10:51:2 | [CMD] H.R.N.(9) => /l ana bi highyway bakmadým dorseye orda yoksa bütün sw beni silksin
10:51:16 | [LOCAL]nik0tin(10): orda yok 
10:51:16 | [CMD] nik0tin(10) => /l orda yok 
10:51:24 | [LOCAL]H.R.N.(9): :p
10:51:24 | [CMD] H.R.N.(9) => /l :p
10:51:34 | [LOCAL]testere151(8): daðda vardý 
10:51:34 | [CMD] testere151(8) => /l daðda vardý 
10:51:40 | [LOCAL]nik0tin(10): arkada kaldý 
10:51:40 | [CMD] nik0tin(10) => /l arkada kaldý 
10:51:43 | [LOCAL]H.R.N.(9): baktým ben oraya göremedim
10:51:43 | [CMD] H.R.N.(9) => /l baktým ben oraya göremedim
10:51:44 | [LOCAL]testere151(8): ayn
10:51:44 | [CMD] testere151(8) => /l ayn
10:51:59 | [LOCAL]nik0tin(10): diðer daðdada var :D 
10:51:59 | [CMD] nik0tin(10) => /l diðer daðdada var :D 
10:52:2 | [CMD] nik0tin(10) => /sac 
10:52:13 | [CMD] [A.s.i]KraL(7) => /gobus
10:52:32 | [LOCAL]nik0tin(10): bi ara bu daða týrmanmak modaydý 
10:52:32 | [CMD] nik0tin(10) => /l bi ara bu daða týrmanmak modaydý 
10:52:37 | [LOCAL]testere151(8): :D
10:52:37 | [CMD] testere151(8) => /l :D
10:52:47 | [LOCAL]nik0tin(10): oynadýðým svlerde 
10:52:47 | [CMD] nik0tin(10) => /l oynadýðým svlerde 
10:52:49 | [CMD] eren1616(6) => /atamir
10:53:2 | [LOCAL]testere151(8): solda
10:53:2 | [CMD] testere151(8) => /l solda
10:53:3 | [CMD] eren1616(6) => /spec 8
10:53:8 | [CMD] eren1616(6) => /specof
10:53:9 | [CMD] eren1616(6) => /specoff
10:53:12 | {FFCC00}eren1616(6) {FFFFFF}Kamyoncu olarak spawn oldu.
10:53:13 | [LOCAL]H.R.N.(9): hoayda
10:53:13 | [CMD] H.R.N.(9) => /l hoayda
10:53:13 | [CMD] eren1616(6) => /goto 8
10:53:21 | [CMD] nik0tin(10) => /atamir 
10:53:25 | [CMD] eren1616(6) => /myskin 294
10:53:57 | [LOCAL]eren1616(6): 2 oyuncuya 3 admin 1 rehber bune 
10:53:57 | [CMD] eren1616(6) => /l 2 oyuncuya 3 admin 1 rehber bune 
10:54:10 | [LOCAL]H.R.N.(9): :d
10:54:10 | [CMD] H.R.N.(9) => /l :d
10:54:23 | [LOCAL]nik0tin(10): 30 usere 1 admin yaptýn mý hiç 
10:54:23 | [CMD] nik0tin(10) => /l 30 usere 1 admin yaptýn mý hiç 
10:54:32 | [LOCAL]testere151(8): ben yaptým
10:54:32 | [CMD] testere151(8) => /l ben yaptým
10:54:33 | [LOCAL]eren1616(6): 27 user e 1 admin yaptým :D
10:54:33 | [CMD] eren1616(6) => /l 27 user e 1 admin yaptým :D
10:54:41 | [LOCAL]nik0tin(10): çok zor oluyo 
10:54:41 | [CMD] nik0tin(10) => /l çok zor oluyo 
10:54:52 | [A.s.i]KraL(7): ART þirkete kimse var mý
10:54:52 | [LOCAL]nik0tin(10): uyarý bile iþlemiyor adama 
10:54:52 | [CMD] nik0tin(10) => /l uyarý bile iþlemiyor adama 
10:54:55 | [LOCAL]testere151(8): ayn herkes admn diyo hangi birine bakýcan
10:54:55 | [CMD] testere151(8) => /l ayn herkes admn diyo hangi birine bakýcan
10:54:56 | [LOCAL]eren1616(6): saniyede 1 þikayet geliyo mubarek :D
10:54:56 | [CMD] eren1616(6) => /l saniyede 1 þikayet geliyo mubarek :D
10:55:12 | [CMD] [A.s.i]KraL(7) => /meslrk
10:55:14 | [CMD] [A.s.i]KraL(7) => /meslek
10:55:18 | {FFCC00}[A.s.i]KraL(7) {FFFFFF}Kamyoncu olarak spawn oldu.
10:55:20 | [LOCAL]testere151(8): öðlen bi 15-20 kiþi olsunda bi vip ödüllü etk iyi gider 
10:55:20 | [CMD] testere151(8) => /l öðlen bi 15-20 kiþi olsunda bi vip ödüllü etk iyi gider 
10:55:22 | [CMD] [A.s.i]KraL(7) => /rescue
10:55:38 | [CMD] eren1616(6) => /l
10:55:39 | [LOCAL]nik0tin(10): matite gibi bizede bi hediye çekersin :D 
10:55:39 | [CMD] nik0tin(10) => /l matite gibi bizede bi hediye çekersin :D 
10:55:47 | [CMD] [A.s.i]KraL(7) => /modifiye
10:55:49 | [LOCAL]testere151(8): www.nahcek.com
10:55:49 | [CMD] testere151(8) => /l www.nahcek.com
10:55:50 | [LOCAL]eren1616(6): 31 gün vip daðýt
10:55:50 | [CMD] eren1616(6) => /l 31 gün vip daðýt
10:55:54 | [LOCAL]eren1616(6): :D
10:55:54 | [CMD] eren1616(6) => /l :D
10:56:8 | [LOCAL]nik0tin(10): bi ara topladýydý herkesi etk alanýna :D 
10:56:8 | [CMD] nik0tin(10) => /l bi ara topladýydý herkesi etk alanýna :D 
10:56:11 | [CMD] [A.s.i]KraL(7) => /kasabirak
10:56:16 | [LOCAL]testere151(8): ban daðýtayým istersen 
10:56:16 | [CMD] testere151(8) => /l ban daðýtayým istersen 
10:56:27 | [LOCAL]testere151(8): 31 gün 31 saat iyi gider
10:56:27 | [CMD] testere151(8) => /l 31 gün 31 saat iyi gider
10:56:27 | [CMD] [A.s.i]KraL(7) => /work
10:56:30 | [CMD] testere151(8) => /kemer
10:56:36 | [LOCAL]eren1616(6): bi gün 24 saat :D
10:56:36 | [CMD] eren1616(6) => /l bi gün 24 saat :D
10:56:58 | [CMD] nik0tin(10) => /kemer 
10:56:58 | [CMD] testere151(8) => /modifiye
10:57:1 | [LOCAL]eren1616(6): biz burda napýyoz
10:57:1 | [CMD] eren1616(6) => /l biz burda napýyoz
10:57:3 | [CMD] eren1616(6) => /kemer
10:57:5 | [LOCAL]nik0tin(10): kemerleri takýn 
10:57:5 | [CMD] nik0tin(10) => /l kemerleri takýn 
10:57:6 | SiskoDayi(11) oyuna girdi [IP: 88.232.35.135]
10:57:11 | [LOCAL]H.R.N.(9): crash yiyioz :D
10:57:11 | [CMD] H.R.N.(9) => /l crash yiyioz :D
10:57:12 | [CMD] H.R.N.(9) => /kemer
10:57:16 | [LOCAL]eren1616(6): :D
10:57:16 | [CMD] eren1616(6) => /l :D
10:57:20 | 
10:57:30 | [LOCAL]H.R.N.(9): nays rýpazha
10:57:30 | [CMD] H.R.N.(9) => /l nays rýpazha
10:57:31 | [LOCAL]nik0tin(10): noluyor lo 
10:57:31 | [CMD] nik0tin(10) => /l noluyor lo 
10:57:32 | [CMD] [A.s.i]KraL(7) => /sac
10:57:32 | [CMD] eren1616(6) => /modifiye
10:57:36 | {FFCC00}SiskoDayi(11) {FFFFFF}Kamyoncu olarak spawn oldu.
10:57:46 | [CMD] SiskoDayi(11) => /sa
10:57:49 | [CMD] H.R.N.(9) => /as
10:57:49 | [CMD] nik0tin(10) => /as 
10:57:49 | [CMD] [A.s.i]KraL(7) => /as
10:58:2 | [CMD] [A.s.i]KraL(7) => /pm 11 as
10:58:3 | [CMD] [A.s.i]KraL(7) => /pm 11 sa
10:58:13 | [CMD] SiskoDayi(11) => /pm 7 as
10:58:18 | [LOCAL]eren1616(6): ölüyoz 
10:58:18 | [CMD] eren1616(6) => /l ölüyoz 
10:58:29 | [LOCAL]eren1616(6): docks gidermi bu uça uça
10:58:29 | [CMD] eren1616(6) => /l docks gidermi bu uça uça
10:58:32 | [LOCAL]nik0tin(10): roketleme incez 
10:58:32 | [CMD] nik0tin(10) => /l roketleme incez 
10:58:32 | [CMD] Dark_Alone_(12) => /work
10:58:34 | [CMD] eren1616(6) => /modifiye
10:58:34 | [CMD] Dark_Alone_(12) => /rescue
10:58:40 | [CMD] H.R.N.(9) => /yaaaaa hakk
10:58:44 | [LOCAL]H.R.N.(9): yaaaaa hakk
10:58:44 | [CMD] H.R.N.(9) => /l yaaaaa hakk
10:58:55 | [LOCAL]eren1616(6): allahu ekber
10:58:55 | [CMD] eren1616(6) => /l allahu ekber
10:58:57 | [CMD] Dark_Alone_(12) => /kemer
10:58:58 | [CMD] Dark_Alone_(12) => /work
10:58:59 | [LOCAL]eren1616(6): suri bom bom
10:58:59 | [CMD] eren1616(6) => /l suri bom bom
10:59:3 | [CMD] [A.s.i]KraL(7) => /pm 11 hacý sana bi aralar gizli kasa olayý gostermýsdým hatýrladýn mý 
10:59:12 | [CMD] nik0tin(10) => /atamir 
10:59:15 | [LOCAL]testere151(8): :D
10:59:15 | [CMD] testere151(8) => /l :D
10:59:15 | [CMD] eren1616(6) => /modifiye
10:59:19 | [LOCAL]H.R.N.(9): mükemmel bi atlayýþ
10:59:19 | [CMD] H.R.N.(9) => /l mükemmel bi atlayýþ
10:59:21 | [CMD] SiskoDayi(11) => /pm 7 evet ?
10:59:23 | [CMD] [A.s.i]KraL(7) => /pm 11 senden bi ricamiz olsa
10:59:26 | [LOCAL]eren1616(6): :D
10:59:26 | [CMD] eren1616(6) => /l :D
10:59:28 | [CMD] eren1616(6) => /modifiye
10:59:33 | [CMD] nik0tin(10) => /atamir 
10:59:36 | [CMD] nik0tin(10) => /fuel
10:59:42 | [CMD] H.R.N.(9) => /musait
10:59:48 | [CMD] [A.s.i]KraL(7) => /pm 11 kaptaný biliyor musun ?
