0:0:1 | [CMD] Jodor(12) => /vipler 
0:59:41 | [SirketCHT] DarkFlow(8): ! evet
0:59:46 | [SirketCHT] Jodor(12): ! görevde misin
0:59:47 | [CMD] BrownCute(6) => /meslek
0:59:49 | huso608(17): valla baskan bir suru meslek yaptým hepsi iyi hosta belli sure sonra sýkýyor
0:59:51 | [SirketCHT] DarkFlow(8): ! yanýnda :D
0:59:59 | bay.potiy(0) oyuna girdi [IP: 46.1.132.72]
1:0:0 | emre_cool(10): huso araç buga girdi yardým
1:0:0 | [SirketCHT] SiskoDayi(19): ! :D
1:0:1 | [SirketCHT] Jodor(12): ! ben de seni çaðýracaktým
1:0:3 | huso608(17): benim asýl isim yarýscýydým otomobil yarýscýsý
1:0:5 | [SirketCHT] Jodor(12): ! yukarýdan gel
1:0:8 | [SirketCHT] DarkFlow(8): ! :D
1:0:10 | [CMD] huso608(17) => /goto 10
1:0:13 | 
1:0:13 | [CMD] nefariouss(16) => /c siþko gelionmu aga
1:0:14 | {FFCC00}BrownCute(6) {FFFFFF}Polis olarak spawn oldu.
1:0:16 | {FFCC00}bay.potiy(0) {FFFFFF}Kamyoncu olarak spawn oldu.
1:0:17 | emre_cool(10): map yüklenmedi buga girdi araç
1:0:18 | [CMD] batu.123(20) => /tamir
1:0:21 | [CMD] huso608(17) => /slap 17
1:0:26 | {FFCC00}Jodor(12) {FFFFFF}Kamyoncu olarak spawn oldu.
1:0:26 | Jodor(12): klas öldüm :D
1:0:29 | [CMD] huso608(17) => /get 10
1:0:30 | [CMD] bay.potiy(0) => /rescue
1:0:32 | Jodor(12): düþtüm ya :D
1:0:34 | emre_cool(10): eyw baþkan
1:0:36 | [CMD] BrownCute(6) => /rescue
1:0:38 | [CMD] emre_cool(10) => /tamir
1:0:38 | huso608(17): Rica Ederim
1:0:44 | [CMD] Jodor(12) => /myskin 204
1:0:49 | [CMD] Jodor(12) => /myskin 202
1:0:49 | [LOCAL]Asi_Kaptan(13): iyi oyunlar
1:0:49 | [CMD] Asi_Kaptan(13) => /l iyi oyunlar
1:0:54 | [CMD] Jodor(12) => /myskin 175
1:0:59 | [CMD] Jodor(12) => /myskin 170
1:0:59 | [CMD] huso608(17) => /rescue
1:1:2 | [CMD] BrownCute(6) => /kemer
1:1:3 | [CMD] SiskoDayi(19) => /giseparacek
1:1:4 | [CMD] Jodor(12) => /myskin 179ü
1:1:8 | [CMD] Jodor(12) => /myskin 179
1:1:9 | [CMD] SiskoDayi(19) => /giseparacek
1:1:12 | [SirketCHT] Jodor(12): ! þirkete gel
1:1:14 | [SirketCHT] Jodor(12): ! dark
1:1:16 | [CMD] emre_cool(10) => /kemer
1:1:18 | [CMD] huso608(17) => /work
1:1:18 | [CMD] Jodor(12) => /myskin 299
1:1:20 | [CMD] DarkFlow(8) => /rescue
1:1:22 | [CMD] batu.123(20) => /modifiye
1:1:23 | [CMD] Jodor(12) => /myskin 292
1:1:26 | [CMD] Jodor(12) => /araba
1:1:34 | [CMD] huso608(17) => /duyuru Cig Kofteler Hazirmi
1:1:34 | [CMD] nefariouss(16) => /c siþko aga biz bitirdik sen gelicekmisin
1:1:36 | Asi_Kaptan(13): :D
1:1:40 | [CMD] emre_cool(10) => /tamir
1:1:43 | [CMD] DarkFlow(8) => /yerbul
1:1:47 | Jodor(12): hazýr
1:1:50 | [CMD] SiskoDayi(19) => /c geleyim nerdesiniz
1:1:51 | Asi_Kaptan(13): DeiL
1:1:52 | [CMD] Jodor(12) => /kemer
1:2:1 | [CMD] huso608(17) => /duyuru Salgam Ayran Yaninda olsun
1:2:6 | Jodor(12): olsun
1:2:11 | SiskoDayi(19): Asi
1:2:14 | Asi_Kaptan(13): Tatlý Yenir Acý Cýkarýlýr ;)
1:2:14 | emre_cool(10): tmm baþkan olur sen iste yeterki
1:2:16 | [CMD] nefariouss(16) => /c harboura yükü býrakmýycakmýsýn
1:2:17 | SiskoDayi(19): gelde ceza kes kurban
1:2:20 | Asi_Kaptan(13): Geliyorum SiskoDayi
1:2:21 | [CMD] huso608(17) => /duyuru Hamamda Ne Guzel Gider
1:2:30 | [CMD] SiskoDayi(19) => /c yok be reis suya uctuk :D
1:2:30 | [CMD] Jodor(12) => /vtamir
1:2:32 | emre_cool(10): tmm baþkan oda olur sen iste yeterki
1:2:33 | Jodor(12): hem de nasýl
1:2:37 | [CMD] SiskoDayi(19) => /c ama su polis ceza kessin geliyom
1:2:39 | [CMD] huso608(17) => /duyuru Keseyi Basacan
1:2:49 | [CMD] huso608(17) => /duyuru Butun Kir Pert 
1:2:53 | emre_cool(10): keseyi basacan ney la anlam ?
1:2:55 | [CMD] huso608(17) => /duyuru Butun Kirler Pert 
1:2:58 | [CMD] SiskoDayi(19) => /rescue
1:3:2 | [CMD] BrownCute(6) => /kemer
1:3:2 | [LOCAL]DarkFlow(8): rainbow :D
1:3:2 | [CMD] DarkFlow(8) => /l rainbow :D
1:3:5 | ClipCamper20(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:3:5 | Asi_Kaptan(13): Can Res
1:3:9 | Asi_Kaptan(13): Arac Res
1:3:10 | [CMD] emre_cool(10) => /convpy
1:3:10 | huso608(17): kese attýracan temizlik acýsýndan tellaklar vardýr hamamda
1:3:11 | [CMD] Asi_Kaptan(13) => /rescue
1:3:12 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
1:3:12 | [LOCAL]Jodor(12): gözünde canlanýr o koskoca mazi
1:3:12 | [CMD] Jodor(12) => /l gözünde canlanýr o koskoca mazi
1:3:14 | [CMD] emre_cool(10) => /convoy
1:3:14 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
1:3:16 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
1:3:17 | [LOCAL]Jodor(12): en güzel yer burasý
1:3:17 | [CMD] Jodor(12) => /l en güzel yer burasý
1:3:18 | [LOCAL]DarkFlow(8): D::
1:3:18 | [CMD] DarkFlow(8) => /l D::
1:3:18 | [CMD] huso608(17) => /respawncars
1:3:19 | [CMD] huso608(17) => /cantazele
1:3:21 | [CMD] SiskoDayi(19) => /rescue
1:3:29 | [CMD] Asi_Kaptan(13) => /pm 19 yapalým mý kargo ?
1:3:32 | [LOCAL]DarkFlow(8): ayn buyuk 
1:3:32 | [CMD] DarkFlow(8) => /l ayn buyuk 
1:3:40 | [CMD] emre_cool(10) => /tamir
1:3:43 | [CMD] SiskoDayi(19) => /pm 13 su aradaþlarla az konvoy yapýcam dayý
1:3:52 | [CMD] Asi_Kaptan(13) => /meslek
1:3:56 | {FFCC00}Asi_Kaptan(13) {FFFFFF}Kamyoncu olarak spawn oldu.
1:3:56 | emre_cool(10): lag test
1:3:59 | [CMD] huso608(17) => /work
1:4:4 | [LOCAL]Jodor(12): atlama yapalým ilk önce ben atlayayým
1:4:4 | [CMD] Jodor(12) => /l atlama yapalým ilk önce ben atlayayým
1:4:4 | [CMD] emre_cool(10) => /adminol
1:4:6 | [CMD] Asi_Kaptan(13) => /convoy
1:4:11 | [CMD] huso608(17) => /duyuru Geri Donus Olsa Gelirmiydin
1:4:12 | [SirketCHT] SiskoDayi(19): ! patron
1:4:16 | emre_cool(10): gitmiyom
1:4:20 | [LOCAL]Jodor(12): suya düþürsem balonla çýkarým
1:4:20 | [CMD] Jodor(12) => /l suya düþürsem balonla çýkarým
1:4:26 | [LOCAL]DarkFlow(8): :D
1:4:26 | [CMD] DarkFlow(8) => /l :D
1:4:26 | [SirketCHT] SiskoDayi(19): ! Müdür bey
1:4:28 | emre_cool(10): admin
1:4:29 | [LOCAL]Jodor(12): ileriye git
1:4:29 | [CMD] Jodor(12) => /l ileriye git
1:4:32 | huso608(17): buyrun
1:4:35 | emre_cool(10): çevik kuvvet oyalýyorlar
1:4:38 | emre_cool(10): bunlar
1:4:39 | [LOCAL]Jodor(12): orasý deðil ya
1:4:39 | [CMD] Jodor(12) => /l orasý deðil ya
1:4:43 | [CMD] emre_cool(10) => /tamir
1:4:44 | [LOCAL]Jodor(12): rampanýn olduðu yer
1:4:44 | [CMD] Jodor(12) => /l rampanýn olduðu yer
1:4:45 | [CMD] huso608(17) => /asay Kurallara Uymuyanlarý '/rapor Ýd Sebep' Þeklinde Adminlere Þikayet Edebilirsiniz...  
1:4:51 | [LOCAL]Asi_Kaptan(13): alda cýk :D
1:4:51 | [CMD] Asi_Kaptan(13) => /l alda cýk :D
1:4:55 | emre_cool(10): kaçarsýnýz þimdi oyalasýnýza hadi
1:4:56 | [LOCAL]SiskoDayi(19): gelmiyor dorse :D
1:4:56 | [CMD] SiskoDayi(19) => /l gelmiyor dorse :D
1:5:0 | [SirketCHT] Jodor(12): ! rampanýn oraya git
1:5:1 | [CMD] Asi_Kaptan(13) => /sirketdorse
1:5:5 | nefariouss(16): kim oyalýyo ya
1:5:9 | emre_cool(10): neyse
1:5:9 | [cCc]HulkHulk[cCc](7): kim rahatsýz ediyor karþim emreyi
1:5:11 | nefariouss(16): ben görmedim 
1:5:12 | [CMD] emre_cool(10) => /adminol
1:5:12 | emre_cool(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:5:18 | [SirketCHT] SiskoDayi(19): ! Müdür bey þirket dorsesi gelmiyor :d
1:5:21 | nefariouss(16): terbiyesizler
1:5:22 | [LOCAL]Jodor(12): in aþaðý rampanýn orada bekle
1:5:22 | [CMD] Jodor(12) => /l in aþaðý rampanýn orada bekle
1:5:27 | [cCc]HulkHulk[cCc](7): ahlaksýzlar
1:5:27 | bay.potiy(0): yolun açýk olsun yiðidim
1:5:28 | [SirketCHT] SiskoDayi(19): ! oha :D
1:5:28 | nefariouss(16): polisi engelliyolar
1:5:30 | [SirketCHT] Jodor(12): ! bug olmuþtur maalesef
1:5:31 | [SirketCHT] DarkFlow(8): ! /sirketdorse 
1:5:34 | [CMD] huso608(17) => /duyuru Sakin Genclik
1:5:37 | [CMD] huso608(17) => /work
1:5:40 | [SirketCHT] SiskoDayi(19): ! 3 tane oldu bunlar :D
1:5:42 | [LOCAL]Asi_Kaptan(13): gel bos ver harbourdan alýrýz kasayý
1:5:42 | [CMD] Asi_Kaptan(13) => /l gel bos ver harbourdan alýrýz kasayý
1:5:55 | emre_cool(9) oyuna girdi [IP: 91.93.48.171]
1:5:59 | [SirketCHT] Asi_Kaptan(13): ! sirket arac spawn
1:6:3 | [CMD] Asi_Kaptan(13) => /sirketdorse
1:6:3 | [CMD] huso608(17) => /asay VIP-PARA-SKOR-SIRKET-GISE Vb.Ürünlerden Satýn Almak Ýsteye3nler Forumdan Alabilirsiniz http://www.trucksamp.com...  
1:6:9 | 
1:6:10 | [CMD] Asi_Kaptan(13) => /sirketdorse
1:6:11 | {FFCC00}emre_cool(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
1:6:12 | [SirketCHT] DarkFlow(8): ! :D
1:6:13 | [CMD] emre_cool(9) => /s
1:6:14 | [CMD] emre_cool(9) => /sa
1:6:17 | [CMD] Asi_Kaptan(13) => /sirketdorse
1:6:17 | [CMD] emre_cool(9) => /rescue
1:6:18 | [CMD] SiskoDayi(19) => /c konvoyda kim var
1:6:18 | [SirketCHT] Jodor(12): ! dark yapsana
1:6:20 | [CMD] Asi_Kaptan(13) => /as
1:6:21 | bay.potiy(0) huso608(17)'a 1$ para gönderdi
1:6:21 | [CMD] bay.potiy(0) => /paragonder 17 1
1:6:22 | [CMD] DarkFlow(8) => /as
1:6:23 | [CMD] Asi_Kaptan(13) => /sirketdorse
1:6:23 | [CMD] [cCc]HulkHulk[cCc](7) => /pargonder 17 1
1:6:26 | [CMD] Jodor(12) => /balon
1:6:27 | [CMD] emre_cool(9) => /modifiye
1:6:27 | nefariouss(16) huso608(17)'a 1$ para gönderdi
1:6:27 | [CMD] nefariouss(16) => /paragonder 17 1
1:6:27 | [SirketCHT] DarkFlow(8): ! bekle
1:6:30 | [cCc]HulkHulk[cCc](7) huso608(17)'a 1$ para gönderdi
1:6:30 | [CMD] [cCc]HulkHulk[cCc](7) => /paragonder 17 1
1:6:31 | [CMD] emre_cool(9) => /kemer
1:6:35 | [CMD] DarkFlow(8) => /araba
1:6:39 | [SirketCHT] Asi_Kaptan(13): ! convoy bitiyor mu baslýycak mý ?
1:6:45 | [SirketCHT] [cCc]HulkHulk[cCc](7): !baþlýcak
1:6:49 | [CMD] bay.potiy(0) => /saat 3
1:6:49 | [CMD] Asi_Kaptan(13) => /convoy
1:6:49 | [CMD] emre_cool(9) => /pm 16 acaba kim çevik kuvvet oyalýyor deðilmi ?
1:6:50 | huso608(17): ne parasý atýyorsunuz 1 dolar gonderiyorlar 
1:6:52 | [CMD] bay.potiy(0) => /saat 0
1:6:56 | [SirketCHT] Asi_Kaptan(13): ! kapalý ama ,*
1:6:59 | [CMD] Jodor(12) => /srespawncars
1:7:0 | [LOCAL]DarkFlow(8): atla
1:7:0 | [CMD] DarkFlow(8) => /l atla
1:7:2 | huso608(17): tas atsaydýnýz daha iyidi
1:7:2 | nefariouss(16): harçlýk yaparsýn
1:7:5 | emre_cool(9): @17 sanamý 1 dolar gönderiyorlar
1:7:6 | [CMD] DarkFlow(8) => /kemer
1:7:10 | [CMD] Jodor(12) => /kemer
1:7:13 | [CMD] huso608(17) => /work
1:7:21 | emre_cool(9): @17 sanamý 1 dolar gönderiyorlar
1:7:24 | [CMD] SiskoDayi(19) => /vtamir
1:7:25 | [CMD] DarkFlow(8) => /cvi
1:7:29 | huso608(17): parayý ben sevmiyorum para beni seviyor 
1:7:32 | [LOCAL]DarkFlow(8): :D
1:7:32 | [CMD] DarkFlow(8) => /l :D
1:7:34 | huso608(17): huyum kurusun
1:7:47 | [SirketCHT] Asi_Kaptan(13): ! harbour mu ?
1:7:50 | [LOCAL]Jodor(12): ben kaçar
1:7:50 | [CMD] Jodor(12) => /l ben kaçar
1:7:55 | [CMD] Jodor(12) => /adminol
1:7:56 | [cCc]HulkHulk[cCc](7): beyler tepecikli var mý
1:7:57 | bay.potiy(0): parada kazanan aþkta kaybedermiþ reis
1:7:58 | [CMD] Jodor(12) => /sirket 
1:7:58 | [cCc]HulkHulk[cCc](7): beyler tepecikli var mý
1:7:58 | huso608(17): ßß
1:8:0 | [LOCAL]DarkFlow(8): tmm iyigeceler
1:8:0 | [CMD] DarkFlow(8) => /l tmm iyigeceler
1:8:2 | huso608(17): var baba
1:8:7 | bay.potiy(0): doru mu ?
1:8:10 | [cCc]HulkHulk[cCc](7): harbi mi
1:8:16 | Jodor(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:8:18 | [SirketCHT] Asi_Kaptan(13): ! harbour mu ?
1:8:19 | huso608(17): tepecik hangi mahalle
1:8:25 | [CMD] SiskoDayi(19) => /dorseget
1:8:26 | emre_cool(9): [ÖNEMLÝ]Huso bey parayý sevmez.O sadece arkadaþ olmayý sever.Haksýzmýyým huso bey...
1:8:27 | [CMD] SiskoDayi(19) => /dorsegetir
1:8:30 | huso608(17): adres ver ordayým
1:8:30 | [CMD] SiskoDayi(19) => /vipbilgi
1:8:32 | [CMD] DarkFlow(8) => /rescue
1:8:32 | [CMD] Asi_Kaptan(13) => /sac
1:8:36 | [CMD] SiskoDayi(19) => /getdorse
1:8:45 | [CMD] SiskoDayi(19) => /convoyayril
1:8:47 | [CMD] SiskoDayi(19) => /getdorse
1:8:49 | [CMD] SiskoDayi(19) => /getdorse
1:8:51 | [CMD] huso608(17) => /work
1:8:51 | [CMD] Asi_Kaptan(13) => /convoy
1:8:52 | [SirketCHT] [cCc]HulkHulk[cCc](7): !beyler nerdesiniz
1:8:53 | emre_cool(9): haksýzým diyenler -1 yazsýn
1:8:54 | [CMD] SiskoDayi(19) => /convoy
1:8:54 | [CMD] DarkFlow(8) => /kemer
1:8:57 | emre_cool(9): [ÖNEMLÝ]Huso bey parayý sevmez.O sadece arkadaþ olmayý sever.Haksýzmýyým huso bey...
1:9:5 | [CMD] SiskoDayi(19) => /c arkamdaki dorse gitti :D
1:9:9 | huso608(17): girip cýkmadýgým sokak yok sen adres ver ordan cýkayým
1:9:13 | [CMD] DarkFlow(8) => /cevir
1:9:13 | [CMD] Asi_Kaptan(13) => /c benimmis o :D
1:9:31 | [CMD] SiskoDayi(19) => /kasabirak
1:9:34 | [CMD] SiskoDayi(19) => /kasabirak
1:9:35 | [SirketCHT] Asi_Kaptan(13): ! convoya gelin beyler 
1:9:37 | huso608(17): vay canýna matematigi bulduk
1:9:37 | [CMD] SiskoDayi(19) => /convoyayril
1:9:39 | [CMD] SiskoDayi(19) => /kasabirak
1:9:43 | emre_cool(9): :D
1:9:46 | [CMD] nefariouss(16) => /c geliyomusun þiþko
1:9:49 | huso608(17): diyorum ya yakýnda telefonu da bulacaz
1:9:52 | [CMD] DarkFlow(8) => /tamir
1:9:54 | bay.potiy(0): @ reis güneþim oldun doðuþunu bekliyorum 
1:9:55 | SiskoDayi(19): polis bey iþiniz yokmu
1:10:0 | Asi_Kaptan(13): Harbourdan Konvoy Yapacak Varsa Gelsinler
1:10:5 | emre_cool(9): iþim var
1:10:7 | [CMD] emre_cool(9) => /kemer
1:10:11 | batu.123(20) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:10:12 | [CMD] BrownCute(6) => /tamir
1:10:16 | [CMD] SiskoDayi(19) => /convoy
1:10:18 | [CMD] BrownCute(6) => /cevir
1:10:21 | [CMD] BrownCute(6) => /tamir
1:10:23 | huso608(17): Gunes Sana Deryalar Senin Askýn Benim Olsum
1:10:31 | [CMD] nefariouss(16) => /convoyat 19
1:10:33 | emre_cool(9): @19 bu arada ben polis deðilim çevik kuvvetim.
1:10:40 | [CMD] huso608(17) => /work
1:10:42 | [CMD] [cCc]HulkHulk[cCc](7) => /asiriyuk
1:10:47 | [CMD] Asi_Kaptan(13) => /c asiri yuk alma
1:11:11 | [CMD] SiskoDayi(19) => /c la bu nereye geliyor
1:11:17 | bay.potiy(0): @  zülfü kahküllerin amber misali guyu erguvandan güzelsin güzel
1:11:19 | [CMD] DarkFlow(8) => /rescue
1:11:21 | [CMD] Asi_Kaptan(13) => /c cevik
1:11:24 | emre_cool(9): sw de bir cuçlu var onuda yakaladý galiba polis bey
1:11:25 | [CMD] emre_cool(9) => /tamir
1:11:28 | [CMD] nefariouss(16) => /convoy
1:11:35 | Asi_Kaptan(13): Convoya Katýlcaklar Gelsin
1:11:41 | [CMD] [cCc]HulkHulk[cCc](7) => /convoyyaril
1:11:42 | SiskoDayi(19): cevik bey konvoy yerinde bekleme müslüman
1:11:43 | nefariouss(16): gelirük
1:11:46 | [CMD] [cCc]HulkHulk[cCc](7) => /convoyayril
1:11:47 | [CMD] Asi_Kaptan(13) => /convoy
1:11:49 | [CMD] bay.potiy(0) => /convoy
1:11:52 | [CMD] [cCc]HulkHulk[cCc](7) => /convoy
1:11:56 | [CMD] SiskoDayi(19) => /konvoyayril
1:12:0 | [CMD] SiskoDayi(19) => /convoyayril
1:12:2 | [CMD] bay.potiy(0) => /convoyayrýl
1:12:2 | [CMD] huso608(17) => /duyuru Ýltifatlariniz Bizleri Memnun Etti
1:12:4 | [CMD] SiskoDayi(19) => /convoy
1:12:4 | [CMD] nefariouss(16) => /convoyayril
1:12:7 | [CMD] bay.potiy(0) => /convoyayril
1:12:8 | [CMD] nefariouss(16) => /convoy
1:12:11 | [CMD] bay.potiy(0) => /convoy
1:12:25 | [CMD] SiskoDayi(19) => /pm 17 convoy baþýnda beklemek yasak degilmi polise
1:12:29 | Asi_Kaptan(13): Baska Var Mý Gelcek Baslýyorum ?
1:12:34 | [CMD] huso608(17) => /spec 19
1:12:36 | [CMD] Asi_Kaptan(13) => /work
1:12:37 | [CMD] emre_cool(9) => /tamir
1:12:47 | [CMD] SiskoDayi(19) => /vipneon
1:12:49 | [CMD] BrownCute(6) => /tamir
1:12:52 | [CMD] [cCc]HulkHulk[cCc](7) => /asiriyuk
1:12:53 | huso608(17): Convoyu Takip Etmek Yasak Cevik ve Polis Beyler
1:12:54 | [CMD] [cCc]HulkHulk[cCc](7) => /asiriyuk
1:12:54 | [CMD] SiskoDayi(19) => /saat 23 00
1:12:55 | emre_cool(9): araç res
1:12:55 | [CMD] bay.potiy(0) => /asiriyuk
1:12:57 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
1:13:0 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
1:13:1 | [CMD] [cCc]HulkHulk[cCc](7) => /tamir
1:13:2 | emre_cool(9): @17 takip etmiyom ki
1:13:3 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
1:13:3 | [CMD] nefariouss(16) => /asiriyuk
1:13:5 | [CMD] huso608(17) => /respawncars
1:13:6 | [CMD] huso608(17) => /cantazele
1:13:10 | [CMD] DarkFlow(8) => /tamir
1:13:10 | [CMD] SiskoDayi(19) => /saat 23 00
1:13:11 | [cCc]HulkHulk[cCc](7): admin polis bizi beklýo 
1:13:12 | huso608(17): genel bilgi veriyorum
1:13:14 | [cCc]HulkHulk[cCc](7): ceza kesmek için
1:13:17 | Asi_Kaptan(13): Aynen
1:13:18 | [CMD] huso608(17) => /asay Kurallara Uymuyanlarý '/rapor Ýd Sebep' Þeklinde Adminlere Þikayet Edebilirsiniz...  
1:13:20 | [CMD] emre_cool(9) => /kemer
1:13:32 | emre_cool(9): @7 sizden baþka suçlu yok çünkü
1:13:36 | [CMD] emre_cool(9) => /tamir
1:13:37 | [CMD] huso608(17) => /specoff
1:13:37 | huso608(17) Oduncu olarak spawn oldu.
1:13:40 | nefariouss(16): takip edemesin
1:13:41 | [CMD] huso608(17) => /work
1:13:43 | SiskoDayi(19): git baþka yerde beklea
1:13:49 | emre_cool(9): görevim bu benin
1:13:50 | [CMD] DarkFlow(8) => /tamir
1:13:53 | [CMD] emre_cool(9) => /rescue
1:13:55 | [CMD] emre_cool(9) => /rescue
1:13:58 | huso608(17): takip yasak sikayet gelirse týkarým iceri
1:14:1 | [CMD] BrownCute(6) => /tamirw
1:14:4 | [CMD] BrownCute(6) => /tamir
1:14:6 | [CMD] DarkFlow(8) => /kemer
1:14:6 | [CMD] emre_cool(9) => /modifiye
1:14:23 | [CMD] emre_cool(9) => /kemer
1:14:27 | [cCc]HulkHulk[cCc](7): þikayetçiyiz
1:14:31 | [CMD] huso608(17) => /asay Kurallara Uymuyanlarý '/rapor Ýd Sebep' Þeklinde Adminlere Þikayet 5Edebilirsiniz...  
1:14:39 | nefariouss(16): þikayetçiyiz
1:14:45 | Asi_Kaptan(13): Evet ;)
1:14:47 | emre_cool(9): @17 uyduruyorlar ben nerdeyim onlar nede
1:14:47 | huso608(17): arada turkuaz yazýlarýný okuyun sonra yazýn
1:14:52 | bay.potiy(0):  bence adam görevini yapýyo sunuçta
1:14:58 | [CMD] DarkFlow(8) => /rescue
1:14:59 | Asi_Kaptan(13): :D
1:15:7 | [cCc]HulkHulk[cCc](7): kendisi 9 yaþýnda
1:15:10 | [cCc]HulkHulk[cCc](7): sorry
1:15:13 | huso608(17): @9 seni biliyorum merak etme fazla sansýný zorlama
1:15:14 | [CMD] DarkFlow(8) => /kemer
1:15:22 | [CMD] huso608(17) => /work
1:15:30 | [CMD] nefariouss(16) => /tamir
1:15:31 | [CMD] DarkFlow(8) => /sirket
1:15:37 | [CMD] huso608(17) => /spec 9
1:15:39 | [CMD] emre_cool(9) => /adminol
1:15:40 | emre_cool(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:15:45 | huso608(17) Oduncu olarak spawn oldu.
1:16:13 | bay.potiy(0): busefer olmadý @9 takip ediyon hakkat
1:16:14 | nefariouss(16): hüso konvoyu takip ediyo emre
1:16:23 | [CMD] huso608(17) => /duyuru Gece Gece Islik mi Calinir
1:16:24 | nefariouss(16): ceza kesti kaçtý
1:16:42 | SiskoDayi(19): la þu polisine baþlýcam ama
1:16:43 | huso608(17): gitti baskan o sýrada /rapor ýd Sebep yaz gonder
1:16:52 | [CMD] huso608(17) => /spec 6
1:17:1 | [CMD] huso608(17) => /specoff
1:17:2 | huso608(17) Oduncu olarak spawn oldu.
1:17:7 | nefariouss(16): diðer polsite takipo ediyo
1:17:10 | BrownCute(6): devam et
1:17:10 | [CMD] huso608(17) => /work
1:17:16 | [CMD] huso608(17) => /spec 6
1:17:19 | SiskoDayi(19): la giþeden geöiyom dibime girmeye calýsýyor
1:17:20 | bay.potiy(0): huso giþede beklemek suç deðil mi 
1:17:24 | [CMD] [cCc]HulkHulk[cCc](7) => /Yamir
1:17:31 | huso608(17): gisede sabit duruyorsa evet
1:17:32 | BrownCute(6): giþede beklemedim
1:17:43 | [CMD] [cCc]HulkHulk[cCc](7) => /tamir
1:17:46 | nefariouss(16): bekliyodun kardeþim
1:17:48 | SiskoDayi(19): konvoy düzenini bozuyon reis
1:17:48 | huso608(17): bizler goruyoruz sýkýntý yok siz sadece 
1:17:49 | bay.potiy(0): @ 6 bekliyodun kardeþim 
1:17:50 | BrownCute(6): sizi gördüm geldim geçmeye çalýþtým sýkýþtýrdýnýz
1:17:56 | huso608(17):  /rapor ýd sebep
1:18:2 | Asi_Kaptan(13): polis sende týrcý ol haci seri bozuyorsun
1:18:7 | [cCc]HulkHulk[cCc](7): at gibi girersen eþþek gibi sýkýþýrýsn tabý
1:18:12 | [CMD] huso608(17) => /specoff
1:18:12 | huso608(17) Oduncu olarak spawn oldu.
1:18:14 | SiskoDayi(19):  @7 :ÇDw
1:18:23 | [CMD] SiskoDayi(19) => /vtamir
1:18:23 | BrownCute(6): sýkýþtýrma o zaman
1:18:27 | BrownCute(6): bekle
1:18:29 | [cCc]HulkHulk[cCc](7): girme ozaman
1:18:38 | huso608(17): benzetme farklý oldu ama begendim lafýný
1:18:40 | BrownCute(6): polisim görevim suçlulara ceza kesmek
1:18:46 | [cCc]HulkHulk[cCc](7): eyw :D
1:18:58 | [cCc]HulkHulk[cCc](7): tam ya heehje
1:18:59 | huso608(17): aracýný uygun yere cek uyarýyý cektikten sonra 
1:19:5 | [cCc]HulkHulk[cCc](7): çekse 
1:19:8 | [cCc]HulkHulk[cCc](7): çekmedi
1:19:8 | [CMD] Asi_Kaptan(13) => /c Beyler Dýkkatlý Olalým Hep Beraber Verelim Yuklerimizi !!!
1:19:9 | [CMD] Asi_Kaptan(13) => /c Beyler Dýkkatlý Olalým Hep Beraber Verelim Yuklerimizi !!!
1:19:10 | [CMD] Asi_Kaptan(13) => /c Beyler Dýkkatlý Olalým Hep Beraber Verelim Yuklerimizi !!!
1:19:10 | SiskoDayi(19): dayý sana yapma diyen yok fakat araya girip  dorseleri cýkarmaya ugraþýyon resmen
1:19:14 | huso608(17): ortaya býrakýrsan gelen giden carpar
1:19:22 | [CMD] huso608(17) => /work
1:19:31 | BrownCute(6): sana 3 kere uyarý verdim durmadýn bro dursaydýn girmezdim
1:19:38 | Freezer3543(9) oyuna girdi [IP: 85.96.109.184]
1:19:45 | SiskoDayi(19): la giþeden geçiyorum musluman geceyim gel kes :D
1:19:45 | [CMD] [cCc]HulkHulk[cCc](7) => /tamir
1:19:47 | 
1:19:50 | {FFCC00}Freezer3543(9) {FFFFFF}Polis olarak spawn oldu.
1:19:54 | [CMD] Freezer3543(9) => /sa
1:19:54 | huso608(17): durmak zorunda degil senin o vatandasý yakalamak zorundasýn
1:19:57 | [CMD] huso608(17) => /as
1:19:57 | [CMD] SiskoDayi(19) => /as
1:19:58 | BrownCute(6): geçmeden uyarý vermiþtim
1:19:58 | [CMD] Asi_Kaptan(13) => /as
1:20:2 | [CMD] Freezer3543(9) => /kemer
1:20:5 | [CMD] DarkFlow(8) => /as
1:20:10 | DarkFlow(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:20:19 | [CMD] BrownCute(6) => /tamir
