0:0:1 | smosercan(11): yok ya 
15:20:59 | [CMD] DangerTr07(14) => /A onlarda 4-5 tane var ufuk 
15:21:0 | [SirketCHT] Jodor(7): ! hiç sorma ya
15:21:3 | [CMD] Moskova_Kurdu(15) => /a sea 
15:21:3 | [CMD] Chilgin[byhack](9) => /a :D
15:21:5 | [CMD] DangerTr07(14) => /A Türkiye yapýnca tabi batiyor 
15:21:6 | [CMD] huseyin(13) => /a Ase
15:21:9 | [CMD] nik0tin(11) => /a as 
15:21:13 | [CMD] DangerTr07(14) => /AS
15:21:14 | [CMD] Chilgin[byhack](9) => /atamir
15:21:14 | [SWAT]DeaD[POH](0): danger
15:21:18 | [SirketCHT] Jodor(7): ! bizim bi de fiber interneti
15:21:18 | DangerTr07(14): ?
15:21:20 | [CMD] H.R.N.(16) => /stats
15:21:21 | [CMD] huseyin(13) => /sac
15:21:21 | [CMD] Moskova_Kurdu(15) => /a cmd de nie benim 1 saat önce yazdýðým /etk sirala var .d 
15:21:22 | [CMD] DangerTr07(14) => /kemer
15:21:23 | [SWAT]DeaD[POH](0): ben ogleden sonra oluyom
15:21:25 | [SirketCHT] DarkFlow(17): ! :D sözde
15:21:28 | [SWAT]DeaD[POH](0): melekler soledi
15:21:30 | [CMD] H.R.N.(16) => /basarimlar
15:21:30 | [CMD] huseyin(13) => /a .d
15:21:30 | DangerTr07(14): tm 
15:21:30 | [CMD] Chilgin[byhack](9) => /a bide teheilekli ya cok isyomilarlar :d
15:21:35 | [CMD] Moskova_Kurdu(15) => /work
15:21:36 | [CMD] huseyin(13) => /a sen cýktýðýnda kalýyor
15:21:37 | DangerTr07(14): pü sana 
15:21:39 | DangerTr07(14): :( 
15:21:40 | [SWAT]DeaD[POH](0): dangeride getirirsin dedi
15:21:42 | [CMD] DangerTr07(14) => /Atamir
15:21:46 | DangerTr07(14): niye .s
15:21:50 | DangerTr07(14): manyakmý melekler 
15:21:50 | Hic(6): Pata pata pata pata pata paya (Skorsky Kospilav)
15:21:55 | DangerTr07(14): carpýlacaz ya 
15:21:55 | [SWAT]DeaD[POH](0): olabilirw
15:21:59 | [CMD] Jodor(7) => /vbenzimn
15:22:2 | [SWAT]DeaD[POH](0): azsfaga
15:22:2 | [CMD] Chilgin[byhack](9) => /saat 0 
15:22:2 | [CMD] Jodor(7) => /vbenzin
15:22:5 | [CMD] huseyin(13) => /cleanupcars
15:22:8 | [CMD] huseyin(13) => /car Sea 0 0 
15:22:9 | [CMD] Moskova_Kurdu(15) => /sac
15:22:10 | H.R.N.(16): rehberler çývdýrdý
15:22:11 | [CMD] huseyin(13) => /myskin 285
15:22:16 | [SWAT]DeaD[POH](0): hic
15:22:16 | [CMD] huseyin(13) => /silahizni 13 
15:22:17 | DangerTr07(14): hüseyin 
15:22:19 | Hic(6): Pata pata pata pata pata pata 
15:22:20 | [CMD] huseyin(13) => /giveweapon 13 m4 5000 
15:22:21 | huseyin(13): ?
15:22:22 | DangerTr07(14): iznin varsa rehberleri dövmek istiyorum 
15:22:24 | [CMD] huseyin(13) => /kemer
15:22:26 | [CMD] Moskova_Kurdu(15) => /a Dinlediðiniz radyoya
15:22:27 | [SWAT]DeaD[POH](0): :D
15:22:30 | huseyin(13): ben dj sorumlusuyum
15:22:30 | Hic(6): Buyrun Dead Bey.
15:22:31 | DangerTr07(14): agýzlarýna agýzlarýna 
15:22:33 | H.R.N.(16): adios andree andree
15:22:38 | [SWAT]DeaD[POH](0): melekler seni istemedi
15:22:40 | DangerTr07(14): tm ozaman görmedin bilmiyorsun hüseyin 
15:22:42 | [SirketCHT] Jodor(7): ! bizden dj ye baþvuran var mý
15:22:43 | DangerTr07(14): :D
15:22:45 | huseyin(13): Tabi Tabi
15:22:46 | [CMD] huseyin(13) => /sac
15:22:49 | [SirketCHT] DarkFlow(17): ! konyalý 
15:22:50 | [SirketCHT] ASLANBEY(12): !konyalý 
15:22:50 | Hic(6): Allahýn Emri Peygamberin Kavliyle Bizi Dövmek Ýstiyor.
15:22:50 | [SWAT]DeaD[POH](0): Tabi Tabi.
15:22:53 | DangerTr07(14): hic
15:22:53 | [CMD] Chilgin[byhack](9) => /a amüp þu an sw saat akc ta hüseyin 12 dimi :D
15:22:57 | [SirketCHT] Jodor(7): ! iyi umarým olur
15:22:58 | Hic(6): Buyur aþqým
15:22:59 | DangerTr07(14): görevdemisn 
15:23:1 | [CMD] huseyin(13) => /a ne 12 si la
15:23:2 | Hic(6): Ewt
15:23:5 | [CMD] DangerTr07(14) => /Cleanupcars
15:23:6 | [CMD] Chilgin[byhack](9) => /a tm boþ ver 
15:23:6 | [CMD] H.R.N.(16) => /tamir
15:23:7 | [SirketCHT] DarkFlow(17): ! inþ
15:23:7 | DangerTr07(14): tm acidim 
15:23:9 | [CMD] DangerTr07(14) => /meslek
15:23:9 | [CMD] Chilgin[byhack](9) => /saat 12
15:23:11 | [CMD] Beyto(10) => /rescue
15:23:12 | {FFCC00}DangerTr07(14) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
15:23:16 | DangerTr07(14): ve danger cevik 
15:23:16 | [CMD] Moskova_Kurdu(15) => /a 15.23.15 
15:23:17 | [CMD] Beyto(10) => /kemer
15:23:20 | [CMD] DangerTr07(14) => /giveweapon 14 24 99999
15:23:22 | H.R.N.(16): danger Angara bebesiyiz ayýq ol
15:23:23 | [CMD] DangerTr07(14) => /giveweapon 14 25 99999
15:23:23 | [CMD] huseyin(13) => /a 15.23.24
15:23:25 | Hic(6): Ahýramý Atcakdýn ?
15:23:25 | [CMD] nik0tin(11) => /atamir 
15:23:25 | [CMD] DangerTr07(14) => /giveweapon 14 34 99999
15:23:27 | [CMD] Moskova_Kurdu(15) => /work
15:23:27 | [CMD] Chilgin[byhack](9) => /a onu demendim la moskaova :d
15:23:28 | [CMD] DangerTr07(14) => /giveweapon 14 31 99999
15:23:30 | [CMD] huseyin(13) => /a :D
15:23:31 | [CMD] DangerTr07(14) => /giveweapon 14 29 99999
15:23:33 | DangerTr07(14): oo onu dedin ya
15:23:36 | DangerTr07(14): atamam len 
15:23:36 | Hic(6): Salacan iki bordo bereli
15:23:38 | [CMD] Chilgin[byhack](9) => /a amüp hepiniz  yanlýþ anldýnýz :D
15:23:38 | [CMD] DangerTr07(14) => /myskin 12 
15:23:40 | [CMD] DangerTr07(14) => /myskin 21 
15:23:42 | [CMD] Chilgin[byhack](9) => /a sw saati diyom 
15:23:43 | [CMD] huseyin(13) => /a Tercüman lazým 
15:23:44 | [CMD] DangerTr07(14) => /Car inf 0 0 
15:23:46 | [SWAT]DeaD[POH](0): vay be
15:23:48 | [CMD] huseyin(13) => /a saat 12 
15:23:50 | [CMD] DangerTr07(14) => /modifiye
15:23:51 | [SWAT]DeaD[POH](0): rehberlere bak sen
15:23:52 | [CMD] huseyin(13) => /a anladým
15:23:52 | [CMD] Beyto(10) => /vtamir
15:23:53 | Hic(6): 82 New york 83 Washington
15:23:53 | [CMD] huseyin(13) => /a /saat 12 
15:23:54 | [CMD] Chilgin[byhack](9) => /a sw saati diyom /saat 12 gibi olaný 
15:23:57 | [CMD] huseyin(13) => /a /hava 14 
15:23:57 | [CMD] nik0tin(11) => /saat
15:23:57 | [SWAT]DeaD[POH](0): dangeri dovecekler
15:23:58 | DangerTr07(14): dead 
15:24:0 | [CMD] huseyin(13) => /a :D 
15:24:1 | [SWAT]DeaD[POH](0): efm
15:24:4 | [CMD] nik0tin(11) => /saat 12 
15:24:4 | [CMD] huseyin(13) => /ohava 14 
15:24:5 | [CMD] Chilgin[byhack](9) => /a :d
15:24:6 | DangerTr07(14): sende azerisin sende yýrtýn :D 
15:24:7 | [CMD] nik0tin(11) => /hava 14 
15:24:9 | [CMD] DangerTr07(14) => /kemer
15:24:12 | [SWAT]DeaD[POH](0): la ben ne yaptim
15:24:13 | [CMD] Hic(6) => /kemer
15:24:14 | [CMD] Moskova_Kurdu(15) => /asaat 
15:24:17 | [CMD] Moskova_Kurdu(15) => /work
15:24:19 | [CMD] nik0tin(11) => /a sinyal vermiyo 
15:24:20 | [SirketCHT] H.R.N.(16): ! bu dead e kobrayý dolayacam yakýnda
15:24:20 | [SWAT]DeaD[POH](0): bak benim meleklerle alakam var
15:24:22 | [CMD] nik0tin(11) => /a o havada 
15:24:23 | [CMD] H.R.N.(16) => /work
15:24:24 | DangerTr07(14): azerbaycan kardaþ ya o yüzden ahýr olmaz :D 
15:24:30 | [CMD] nik0tin(11) => /hava 13 
15:24:30 | [CMD] DangerTr07(14) => /Saat 12
15:24:32 | [CMD] DangerTr07(14) => /Hava 2
15:24:33 | [CMD] nik0tin(11) => /hava 12 
15:24:34 | [CMD] Chilgin[byhack](9) => /a hüseyin vermiyomuþ :D
15:24:39 | [CMD] huseyin(13) => /a :D
15:24:40 | [CMD] Chilgin[byhack](9) => /a saat 12 de yap hüseyy :d
15:24:40 | [CMD] DangerTr07(14) => /A saat 12 oldun hava önemli
15:24:41 | [SWAT]DeaD[POH](0): tamam benim icinde vuru hici o 9 canli
15:24:44 | [CMD] DangerTr07(14) => /hava 
15:24:45 | [CMD] DangerTr07(14) => /hava 1
15:24:45 | [CMD] huseyin(13) => /osaat 12 
15:24:46 | [CMD] Beyto(10) => /vtamir
15:24:49 | Hic(6): Ben Ankarý deðilim beni ahýra atabilirsin.
15:24:51 | [CMD] DangerTr07(14) => /A /saat 12 hava 2 
15:24:55 | [CMD] huseyin(13) => /a /hava 14 de veriyor
15:24:55 | Hic(6): Ankaralý*
15:24:56 | [CMD] Jodor(7) => /vtamir
15:24:58 | [CMD] huseyin(13) => /hava 2 
15:24:59 | [CMD] Chilgin[byhack](9) => /a þimdi dende niko
15:25:2 | [CMD] huseyin(13) => /hava 14 
15:25:5 | [CMD] nik0tin(11) => /hava 13 
15:25:5 | [CMD] DangerTr07(14) => /God
15:25:7 | [CMD] huseyin(13) => /goto nik 
15:25:7 | [CMD] nik0tin(11) => /hava 12 
15:25:9 | [CMD] huseyin(13) => /cleanupcars
15:25:9 | [CMD] Beyto(10) => /cevir
15:25:10 | [CMD] Moskova_Kurdu(15) => /a Kim ne verüü 
15:25:14 | [CMD] Beyto(10) => /vtamir
15:25:14 | [CMD] Moskova_Kurdu(15) => /work
15:25:16 | [CMD] Chilgin[byhack](9) => /a sinalyer :d
15:25:18 | DangerTr07(14): hedef 
15:25:19 | [CMD] huseyin(13) => /a .d
15:25:20 | [CMD] Beyto(10) => /vtamir
15:25:21 | DangerTr07(14): aslan :D 
15:25:22 | [SWAT]DeaD[POH](0): kirmizi elma
15:25:24 | [CMD] huseyin(13) => /car inf 53 53 
15:25:25 | ASLANBEY(12): :/
15:25:27 | [CMD] huseyin(13) => /kemer
15:25:27 | DangerTr07(14): :D 
15:25:27 | [CMD] Chilgin[byhack](9) => /atamir
15:25:28 | [CMD] Moskova_Kurdu(15) => /a Þu Baþarýmlar sýfýrlansa da 60 level olsam .d 
15:25:28 | Hic(6): Bi Angaralý deðiliz ama
15:25:28 | [CMD] huseyin(13) => /kemer
15:25:30 | [CMD] huseyin(13) => /modifiye
15:25:32 | DangerTr07(14): Kýrmýzý Elma <3 
15:25:33 | [CMD] nik0tin(11) => /a araba ön sinyali veriyo /hava 12 de arkalar patlamýþ heralde :D 
15:25:34 | Hic(6): Sivaslýyýz olm bizde
15:25:40 | [CMD] Chilgin[byhack](9) => /a bug var aslýnda sölemmem :d
15:25:43 | [CMD] huseyin(13) => /a :D
15:25:45 | H.R.N.(16): istanbulun yarýsý sivastýr
15:25:45 | [CMD] huseyin(13) => /hava 12 
15:25:48 | [CMD] Beyto(10) => /vtamir
15:25:49 | Hic(6): Biri Sivasa Biþeymi dedi ?
15:25:51 | [CMD] huseyin(13) => /hava 14 
15:25:54 | [SWAT]DeaD[POH](0): evet
15:25:56 | [CMD] Moskova_Kurdu(15) => /pm 9 nickdeki harflerin deðiþimi mi .d 
15:25:56 | DangerTr07(14): artýk yarýsý suriyeli hic jasdja 
15:26:0 | [CMD] Chilgin[byhack](9) => /pm 15 :D
15:26:2 | Hic(6): WE:QE:qw
15:26:4 | [CMD] ScrappeR(8) => /t harbourda týr konvoyu vardýr 
15:26:5 | [CMD] ScrappeR(8) => /t harbourda týr konvoyu vardýr 
15:26:12 | H.R.N.(16): Türkiyenin yarýsý suri olacak bekle sen
15:26:12 | DangerTr07(14): gs:5 sivaspor:1 
15:26:12 | [CMD] nik0tin(11) => /atamir 
15:26:16 | [CMD] Moskova_Kurdu(15) => /work
15:26:16 | Hic(6): Ben Aslýnda Kongo Demokratik Cumhuriyetliyim
15:26:20 | DangerTr07(14): 5-2 miydi pardon 
15:26:21 | Moskova_Kurdu(15): suri bum bum
15:26:26 | [CMD] huseyin(13) => /goto nik0tin 
15:26:27 | DangerTr07(14): Þampiyonluktan ettik ajsdja 
15:26:31 | Hic(6): Zimbavbe Asýllýyým ama
15:26:33 | DangerTr07(14): cýldýrdýlar bunlar :D 
15:26:36 | Jodor(7): mariano nasýl attý ama baþþakþehire danger :D
15:26:39 | [CMD] DangerTr07(14) => /Slap 6 
15:26:40 | [CMD] huseyin(13) => /a senin sevdiðin renk bu 
15:26:41 | [CMD] huseyin(13) => /vtamir
15:26:41 | [CMD] Beyto(10) => /kemer
15:26:42 | DangerTr07(14): al sana 
15:26:43 | [CMD] Chilgin[byhack](9) => /asay DJ Alýmlarý Açýlmýþtýr. www.trucksamp.com 
15:26:43 | [CMD] DarkFlow(17) => /sirket
15:26:43 | [CMD] huseyin(13) => /a dark mavi .d
15:26:47 | DangerTr07(14): zimbamhve 
15:26:48 | [CMD] nik0tin(11) => /a farkettim :D 
15:26:48 | H.R.N.(16): Gs þampiyon 2. kim
15:26:49 | [CMD] DangerTr07(14) => /R QW:EÇe 
15:26:50 | [CMD] huseyin(13) => /a :d
15:26:51 | [CMD] Beyto(10) => /vtamir
15:26:53 | [CMD] huseyin(13) => /a 53 53 
15:26:53 | DangerTr07(14): 2 beþiktaþ 
15:26:54 | Hic(6): Sivaslý olabilirim ama Sivasý tutmuyom
15:26:55 | Moskova_Kurdu(15): 2. ben 
15:26:55 | [CMD] nik0tin(11) => /modifiye 
15:26:55 | ASLANBEY(12): danger nasýl aldýk maçý ama :GS<3<3<3<3 
15:26:56 | Jodor(7): bjk olur
15:27:3 | DangerTr07(14): aslan qnq 
15:27:3 | [CMD] Chilgin[byhack](9) => /a hüseyin bebek bende gelmi yanýna :d
15:27:4 | [CMD] Hic(6) => /kemer
15:27:6 | DangerTr07(14): zamanýnda
15:27:6 | ASLANBEY(12): he
15:27:7 | [CMD] Moskova_Kurdu(15) => /Atamir
15:27:9 | DangerTr07(14): sivasspor 
15:27:13 | DangerTr07(14): þampiyonlugua gidecekti
15:27:14 | [CMD] nik0tin(11) => /modifiye 
15:27:15 | [CMD] Moskova_Kurdu(15) => /work
15:27:18 | DangerTr07(14): Galatasaray geldi bir cakti
15:27:20 | huseyin(13): ,
15:27:22 | [CMD] huseyin(13) => /a gel 
15:27:22 | DangerTr07(14): Þampiyon Galatasaray :D 
15:27:25 | [LOCAL]H.R.N.(16): sen sür biraz
15:27:25 | [CMD] H.R.N.(16) => /l sen sür biraz
15:27:26 | ASLANBEY(12): çakar valla :D
15:27:30 | [CMD] Chilgin[byhack](9) => /scar
15:27:31 | [CMD] nik0tin(11) => /modifiye 
15:27:32 | [CMD] Chilgin[byhack](9) => /goto 13
15:27:34 | ASLANBEY(12): herkese çakýyor
15:27:37 | [CMD] Beyto(10) => /vtamir
15:27:39 | [CMD] Moskova_Kurdu(15) => /a Çaktý maktý ayýp olmuyo mu amdin s
15:27:40 | [CMD] Hic(6) => /kemer
15:27:41 | [CMD] Hic(6) => /work
15:27:44 | Jodor(7): bjk yensek þampiyonuz
15:27:47 | [CMD] DarkFlow(17) => /motor
15:27:53 | [CMD] huseyin(13) => /a :D
15:27:54 | DangerTr07(14): aynen 
15:27:55 | [CMD] Chilgin[byhack](9) => /god
15:27:56 | [CMD] ScrappeR(8) => /tamir
15:27:57 | [CMD] Chilgin[byhack](9) => /kemer
15:28:7 | DangerTr07(14): 1-1 bile bitse bize yarar 
15:28:12 | [CMD] Beyto(10) => /vtamir
15:28:13 | Jodor(7): bu hafta baþakþehir puan kaybetse þahane olur
15:28:16 | Jodor(7): yaramaz
15:28:17 | DangerTr07(14): haftaya alanyaspor'u yenmemiz lazi ama 
15:28:19 | [SWAT]DeaD[POH](0): danger
15:28:19 | [CMD] Hic(6) => /tamir
15:28:23 | DangerTr07(14): baþakþehirin takilmasi
15:28:24 | Moskova_Kurdu(15): Kimle yapcak akbilspor
15:28:26 | [CMD] H.R.N.(16) => /asay Yardým Ýstiyen Varmý?
15:28:26 | [CMD] Moskova_Kurdu(15) => /work
15:28:29 | [SWAT]DeaD[POH](0): cevik tircilarla sogbet ediyor asdawdwda
15:28:33 | DangerTr07(14): kayserispor mert 
15:28:35 | [CMD] DangerTr07(14) => /kemer
15:28:36 | [SWAT]DeaD[POH](0): cevik tircilarla sohbet ediyor asdawdwda
15:28:37 | Moskova_Kurdu(15): hmm
15:28:37 | [CMD] Chilgin[byhack](9) => /a her þehirde evin var hüseyin :D
15:28:41 | [CMD] huseyin(13) => /a :D
15:28:43 | Jodor(7): inþ.perþembe günü kupa maçýnda fener ile bjk birbirine girer
15:28:43 | DangerTr07(14): acýk acýk söyleyin qnq bjk olacana gs olsun :D 
15:28:44 | Moskova_Kurdu(15): 3 puan alýr be akbilliler
15:28:45 | [CMD] huseyin(13) => /a sf de yoh
15:28:48 | [CMD] huseyin(13) => /a sf yi sevmiyom 
15:28:49 | Jodor(7): kýrmýzý kartlar havada çoþar
15:28:49 | [CMD] Beyto(10) => /kemer
15:28:49 | [CMD] Chilgin[byhack](9) => /a :D
15:28:50 | [CMD] huseyin(13) => /vtamir
15:28:51 | DangerTr07(14): deme oni döverim 
15:28:53 | [CMD] nik0tin(11) => /a sfde güzel yer yok pek 
15:28:56 | [CMD] Moskova_Kurdu(15) => /cc
15:28:56 | DangerTr07(14): rehber döverim :D 
15:28:57 | [CMD] Beyto(10) => /vtamir
15:28:58 | [CMD] [SWAT]DeaD[POH](0) => /c jodor
15:28:59 | [CMD] Moskova_Kurdu(15) => /r Rehber
15:29:0 | [CMD] huseyin(13) => /a ayn 
15:29:3 | H.R.N.(16): oow siyaset haram
15:29:3 | [CMD] Hic(6) => /r ?
15:29:4 | [CMD] DangerTr07(14) => /R ulan rehber 
15:29:4 | [CMD] nik0tin(11) => /atamir 
15:29:5 | [CMD] Moskova_Kurdu(15) => /R Yazma öle biþi daha 
15:29:5 | [CMD] Jodor(7) => /c geldim
15:29:5 | RavlyCoder(18) oyuna girdi [IP: 176.218.69.201]
15:29:8 | [CMD] Hic(6) => /r Peki
15:29:10 | [CMD] [SWAT]DeaD[POH](0) => /c ok
15:29:16 | Hic(6): wowowowo haram
15:29:18 | 
15:29:19 | [CMD] Moskova_Kurdu(15) => /r Siyasete girüü 
15:29:19 | [CMD] DangerTr07(14) => /R ulan belki ben o adamýn taraftariyim niye diyon :D 
15:29:20 | [CMD] Beyto(10) => /vtamir
15:29:22 | {FFCC00}RavlyCoder(18) Otobus Soforu olarak spawn oldu.
15:29:27 | [CMD] DangerTr07(14) => /R kavga çýkar :D 
15:29:28 | [CMD] Moskova_Kurdu(15) => /r Ben deelim de .d
15:29:28 | [CMD] H.R.N.(16) => /r buda ne derdin de :Da
15:29:35 | [CMD] RavlyCoder(18) => /sa
15:29:37 | [CMD] H.R.N.(16) => /as
15:29:38 | [CMD] ScrappeR(8) => /as
15:29:39 | [CMD] nik0tin(11) => /as 
15:29:39 | [CMD] Moskova_Kurdu(15) => /r Yine de siyasete girü .d
15:29:39 | [CMD] Jodor(7) => /vtamir
15:29:39 | Hic(6): Aleyküm Selam.
15:29:40 | [CMD] Moskova_Kurdu(15) => /work
15:29:43 | [CMD] DangerTr07(14) => /r biz ambülcüyüz .çQWEÇQe 
15:29:44 | [CMD] [SWAT]DeaD[POH](0) => /t Harbourda Tir convoyu vardir gelmek isteyen /convoy la katilib /rescue yle harboura gelib yanimizA GELE BILIRLER
15:29:46 | [CMD] Hic(6) => /r Ne alaka la
15:29:46 | [CMD] huseyin(13) => /as
15:29:48 | [CMD] RavlyCoder(18) => /sac
15:29:49 | [CMD] H.R.N.(16) => /r cem uzan dese :Da.sdasd.
15:29:50 | [CMD] Chilgin[byhack](9) => /as
15:29:50 | [CMD] DangerTr07(14) => /As
15:29:53 | [CMD] RavlyCoder(18) => /kemer
15:29:55 | [CMD] RavlyCoder(18) => /modifiye
15:29:56 | [CMD] DangerTr07(14) => /R çq.WEEWQÇEWqÇEq gavat derim ama :D 
15:30:1 | [CMD] Hic(6) => /r R.T.E. Baþakþehire çok destek vveriyo ondan dedim
15:30:3 | [CMD] RavlyCoder(18) => /work
15:30:4 | ASLANBEY(12): harbourda convoy vardýr
15:30:5 | DangerTr07(14): rehberler cýldýrdý len 
15:30:5 | [CMD] DarkFlow(17) => /motor
15:30:7 | ASLANBEY(12): var mý gelen
15:30:11 | [CMD] nik0tin(11) => /atamir 
15:30:13 | [CMD] DangerTr07(14) => /r ne var veremezmi : 
15:30:15 | [CMD] [SWAT]DeaD[POH](0) => /sirket
15:30:16 | [LOCAL]H.R.N.(16): takým onun aq ne destedði D:A:SD:
15:30:16 | [CMD] H.R.N.(16) => /l takým onun aq ne destedði D:A:SD:
15:30:19 | [CMD] DangerTr07(14) => /R fenerede veriyor :D 
15:30:20 | [LOCAL]Chilgin[byhack](9): al kýrdýn kýrdýn :D
15:30:20 | [CMD] Chilgin[byhack](9) => /l al kýrdýn kýrdýn :D
15:30:21 | ASLANBEY(12): yoh muþ
15:30:22 | [LOCAL]Hic(6): qwE:qeQ:
15:30:22 | [CMD] Hic(6) => /l qwE:qeQ:
15:30:24 | [CMD] Moskova_Kurdu(15) => /r Tabi tabi
15:30:24 | [CMD] DangerTr07(14) => /r beþiktaþýn maçýna gitti :D 
15:30:26 | [CMD] ASLANBEY(12) => /work
15:30:26 | [CMD] Jodor(7) => /c baþla
15:30:30 | [LOCAL]huseyin(13): matiteye bak 
15:30:30 | [CMD] huseyin(13) => /l matiteye bak 
15:30:31 | [CMD] Hic(6) => /r Reiz yaw
15:30:33 | [LOCAL]Chilgin[byhack](9): :D
15:30:33 | [CMD] Chilgin[byhack](9) => /l :D
15:30:35 | [LOCAL]huseyin(13): kucuk ev 2 de oturuyor 
15:30:35 | [CMD] huseyin(13) => /l kucuk ev 2 de oturuyor 
15:30:36 | [CMD] huseyin(13) => /vtamir
15:30:39 | [CMD] Beyto(10) => /vtamir
15:30:39 | [CMD] ScrappeR(8) => /asiriyuk
15:30:40 | [LOCAL]H.R.N.(16): medical aprk hastaneleri eþinin takýmýn sponsoru :d
15:30:40 | [CMD] H.R.N.(16) => /l medical aprk hastaneleri eþinin takýmýn sponsoru :d
15:30:40 | [CMD] DangerTr07(14) => /R galatasaraya destek verdi* 
15:30:40 | [CMD] Moskova_Kurdu(15) => /r Maça gitmek destek mi olüü .d 
15:30:40 | [CMD] [SWAT]DeaD[POH](0) => /asiriyuk
15:30:41 | [CMD] Jodor(7) => /asiriyuk
15:30:43 | [CMD] DarkFlow(17) => /asiriyuk
15:30:45 | [CMD] Jodor(7) => /asiriyuk
15:30:50 | [CMD] nik0tin(11) => /atamir 
15:30:56 | [CMD] DangerTr07(14) => /r maddi kanyaktan spor bakaný artýk takimlara vergiyi indirdi. 
15:31:3 | [CMD] ASLANBEY(12) => /asiriyuk
15:31:7 | [CMD] Moskova_Kurdu(15) => /r Tek bizim stadýmýzý kendimiz yaptýk ha .d 
15:31:9 | [SWAT]DeaD[POH](0): of
15:31:12 | RavlyCoder(18): aslanbey
15:31:15 | [CMD] Moskova_Kurdu(15) => /r Sizinkini hep devlet 
15:31:15 | [CMD] H.R.N.(16) => /r yine baþladý spor zohbeti
15:31:17 | [LOCAL]ASLANBEY(12): muck
15:31:17 | [CMD] ASLANBEY(12) => /l muck
15:31:17 | [CMD] Moskova_Kurdu(15) => /r .d 
15:31:18 | [CMD] Hic(6) => /r Moski hangi takýmlsýýn ?
15:31:18 | DangerTr07(14): zenginim be 
15:31:18 | Moskova_Kurdu(15): 7work
15:31:20 | RavlyCoder(18): mspdede aslanbey vardý yüksek skorlarda :d
15:31:20 | [SWAT]DeaD[POH](0): ceviyin yaninda asiri yuk aliyoruz keriziz biz
15:31:22 | [CMD] DangerTr07(14) => /kemer
15:31:24 | [CMD] Moskova_Kurdu(15) => /work
15:31:25 | [CMD] Hic(6) => /tamir
15:31:25 | [CMD] DangerTr07(14) => /R yüri git len :D 
15:31:30 | [CMD] DangerTr07(14) => /R 8taþ 
15:31:31 | [CMD] DangerTr07(14) => /R 8taþ 
15:31:32 | [CMD] H.R.N.(16) => /r gs liyiz 
15:31:36 | [CMD] Hic(6) => /r Moski hangi takýmlýsýn ?
15:31:37 | [CMD] DangerTr07(14) => /R biliyoruz 
15:31:37 | [CMD] nik0tin(11) => /atamir 
15:31:38 | [CMD] Hic(6) => /work
15:31:39 | [CMD] Moskova_Kurdu(15) => /r Fb 
15:31:40 | [CMD] DangerTr07(14) => /R fenevli o 
15:31:40 | [CMD] Hic(6) => /sac
15:31:43 | [CMD] Moskova_Kurdu(15) => /r Kes len
15:31:47 | [CMD] DangerTr07(14) => /R 4 yýldýzý takamaz D
15:31:52 | ASLANBEY(12): msp-ð
15:31:54 | RavlyCoder(18): sizimi izlio
15:31:54 | [CMD] H.R.N.(16) => /r ýngaa alex gitti SA:DaS:D
15:31:56 | ASLANBEY(12): msp
15:31:57 | [CMD] Moskova_Kurdu(15) => /R :D 
15:31:59 | ASLANBEY(12): msp?
15:32:0 | [CMD] DangerTr07(14) => /R Alex'e laf yok 
15:32:1 | [CMD] huseyin(13) => /a az iþim var 
15:32:1 | [CMD] Beyto(10) => /vtamir
15:32:2 | RavlyCoder(18): oyun
15:32:2 | huseyin(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:32:8 | [CMD] Moskova_Kurdu(15) => /r Þu Ersun Yanal la Aziz Yýldývým kavga etmese 
15:32:9 | [CMD] DangerTr07(14) => /R alex De souza adamdir 
15:32:9 | [CMD] nik0tin(11) => /a hay sizin maç muhabbetinize 
15:32:9 | [CMD] Hic(6) => /r Fener = 4 yýldýz yükleniyor... yükleniyor... Yüklenemedi !
15:32:10 | [CMD] Moskova_Kurdu(15) => /r :( 
15:32:11 | [CMD] H.R.N.(16) => /r espri yapýyom la taþlamayýn
15:32:13 | [CMD] ASLANBEY(12) => /tamir
15:32:14 | RavlyCoder(18): aslan@BEY var
15:32:16 | RavlyCoder(18): lkdjflgkjdsf
15:32:16 | [CMD] DangerTr07(14) => /R moski yüri git :D 
15:32:19 | ASLANBEY(12): bilmiyorum
15:32:19 | [CMD] [SWAT]DeaD[POH](0) => /tamir
15:32:22 | ASLANBEY(12): ben deðilim
15:32:25 | [CMD] DangerTr07(14) => /R bjk niye öütüyor 
15:32:29 | [CMD] Hic(6) => /tamir
15:32:29 | RavlyCoder(18): kac yasindasin
15:32:30 | [CMD] DangerTr07(14) => /R fb ötse tamam 
15:32:41 | RavlyCoder(18): o 43 yasýnda lkjdfgjk
15:32:41 | [CMD] DangerTr07(14) => /R kraldýr anlarim 19'kez Þampiyondur 
15:32:46 | [CMD] Moskova_Kurdu(15) => /r Sen ne koniþiyirsen la deðiþik 
15:32:47 | [CMD] DangerTr07(14) => /R beþiktaþ ne lan :D 
15:32:48 | [CMD] Moskova_Kurdu(15) => /work
15:32:48 | [CMD] Hic(6) => /r Çekeriz Tineri Gerisini Anladýnýz.
15:32:55 | [CMD] DangerTr07(14) => /R Qnq diyorumki bjk niye ötüyor w
