0:0:9 | huso608(11): inceliyorum
1:39:33 | [CMD] huso608(13) => /specoff
1:39:33 | huso608(13) Oduncu olarak spawn oldu.
1:39:34 | Jodor(9): boðazlý ormancý kazaðýmýzý da giydik
1:39:34 | [CMD] [vK]Mecburdum(11) => /gorevler
1:39:35 | [CMD] bay.potiy(10) => /tamir
1:39:35 | DarkFlow(12): huso nirdesin
1:39:37 | [CMD] huso608(13) => /work
1:39:37 | [CMD] Konyali42(6) => /pm 15 neselendirmeye calisiyorum olmuyor
1:39:38 | [CMD] [vK]Mecburdum(11) => /meslek
1:39:39 | Jodor(9): çay icmeye geldik
1:39:41 | huso608(13): burdayým baba
1:39:42 | nefariouss(17) oyuna girdi [IP: 176.33.253.222]
1:39:43 | [CMD] tavsanpaladin55(15) => /pm 7 konyalý pm den modu dusuk bugun diyor
1:39:47 | [CMD] Jodor(9) => /pm 15 paladin þirketin var mý
1:39:47 | {FFCC00}[vK]Mecburdum(11) {FFFFFF}Kamyoncu olarak spawn oldu.
1:39:53 | 
1:39:53 | [CMD] tavsanpaladin55(15) => /pm 9 yok
1:39:53 | DarkFlow(12): baktýk yoksun mekanda
1:39:55 | huso608(13): gelin izmire de beeklerim
1:39:57 | {FFCC00}[cCc]HulkHulk[cCc](14) {FFFFFF}Kamyoncu olarak spawn oldu.
1:39:59 | [CMD] sezzer(7) => /pm 15 biliyon zaten nedenini knk
1:40:0 | [CMD] [vK]Mecburdum(11) => /kemer
1:40:0 | {FFCC00}nefariouss(17) {FFFFFF}Kamyoncu olarak spawn oldu.
1:40:1 | [CMD] GSpor1991(8) => /tamir
1:40:2 | [CMD] tavsanpaladin55(15) => /pm 9 uzun zamandýr iþlerim vardý giremedim diye atýlmýsým
1:40:3 | [CMD] Jodor(9) => /pm 15 gelcen mi ART nakliyata
1:40:3 | [CMD] [vK]Mecburdum(11) => /motor
1:40:7 | huso608(13): cayým corbam her zaman kaynar
1:40:14 | [CMD] tavsanpaladin55(15) => /pm 7 bende ona öyle dedim ztn
1:40:16 | [CMD] Jodor(9) => /pm 15 yeni þirket. sahibi benim
1:40:16 | DarkFlow(12): adamsýn huso
1:40:22 | [CMD] [vK]Mecburdum(11) => /work
1:40:24 | huso608(13): Tesekkur Ederim
1:40:24 | [CMD] tavsanpaladin55(15) => /pm 9 h.o
1:40:29 | [CMD] Jodor(9) => /uyeal 15
1:40:31 | [CMD] DarkFlow(12) => /saril
1:40:32 | [CMD] [vK]Mecburdum(11) => /work
1:40:33 | [CMD] DarkFlow(12) => /saril
1:40:36 | [LOCAL]DarkFlow(12): :D
1:40:36 | [CMD] DarkFlow(12) => /l :D
1:40:37 | [SirketCHT] Jodor(9): ! hg
1:40:39 | [CMD] huso608(13) => /saril
1:40:39 | [SirketCHT] tavsanpaladin55(15): ! h.b
1:40:44 | [SirketCHT] Konyali42(6): ! hg
1:40:45 | [SirketCHT] DarkFlow(12): ! hg
1:40:52 | [LOCAL]huso608(13): bosa geldi
1:40:52 | [CMD] huso608(13) => /l bosa geldi
1:40:54 | [SirketCHT] tavsanpaladin55(15): ! hosbuldum beyler saðolun
1:40:56 | [LOCAL]DarkFlow(12): :D
1:40:56 | [CMD] DarkFlow(12) => /l :D
1:40:56 | [CMD] huso608(13) => /saril
1:40:58 | [LOCAL]Jodor(9): racon bunu götermez 
1:40:58 | [CMD] Jodor(9) => /l racon bunu götermez 
1:41:4 | [CMD] DarkFlow(12) => /saril
1:41:7 | [LOCAL]Jodor(9): göstermez
1:41:7 | [CMD] Jodor(9) => /l göstermez
1:41:11 | [CMD] [vK]Mecburdum(11) => /meslek
1:41:13 | [LOCAL]Jodor(9): bak bak þekiller bak
1:41:13 | [CMD] Jodor(9) => /l bak bak þekiller bak
1:41:15 | DarkFlow(12): 7l :D
1:41:16 | {FFCC00}[vK]Mecburdum(11) Otobus Soforu olarak spawn oldu.
1:41:18 | [LOCAL]DarkFlow(12): :D
1:41:18 | [CMD] DarkFlow(12) => /l :D
1:41:20 | [CMD] Konyali42(6) => /tamir
1:41:21 | huso608(13): :)
1:41:21 | [CMD] Konyali42(6) => /work
1:41:27 | [CMD] tavsanpaladin55(15) => /pm 6 bende uðraþtým knk bugün
1:41:29 | [CMD] Jodor(9) => /myskin 290
1:41:30 | [CMD] huso608(13) => /work
1:41:32 | [vK]Mecburdum(11): en iyi iþ hangisi sizde
1:41:34 | [CMD] [vK]Mecburdum(11) => /kemer
1:41:34 | [CMD] Jodor(9) => /myskin 156
1:41:35 | [CMD] [vK]Mecburdum(11) => /motor
1:41:39 | [CMD] bay.potiy(10) => /tamir
1:41:40 | [CMD] [vK]Mecburdum(11) => /work
1:41:40 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:41:41 | Asi_Kaptan(16): Kargoculuk
1:41:41 | [CMD] Jodor(9) => /myskin 165
1:41:44 | huso608(13): skor icin otobus para icin týrcý
1:41:45 | DarkFlow(12): týrcýlýk
1:41:46 | [CMD] Jodor(9) => /myskin 176
1:41:52 | [CMD] GSpor1991(8) => /tamir
1:41:54 | Konyali42(6): para tircilik skor otobüscülük
1:42:0 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir,
1:42:1 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:42:2 | huso608(13): ortaya karýsýk dersen yol iscisi
1:42:2 | Jodor(9): 0-299 kadar bi rakam ya da sayý söyleyin
1:42:11 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:42:12 | Jodor(9): skin seç
1:42:15 | [CMD] nefariouss(17) => /tamir
1:42:15 | Jodor(9): myskin
1:42:17 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:42:18 | [LOCAL]Jodor(9): hehe
1:42:18 | [CMD] Jodor(9) => /l hehe
1:42:19 | [CMD] GSpor1991(8) => /tamir
1:42:20 | [vK]Mecburdum(11): týrcýlýk cor uzaga veriyor yaw
1:42:23 | [CMD] Jodor(9) => /myskin 123
1:42:27 | [CMD] Asi_Kaptan(16) => /myskin 123
1:42:27 | [LOCAL]DarkFlow(12): 264 :D
1:42:27 | [CMD] DarkFlow(12) => /l 264 :D
1:42:28 | Jodor(9): japon çýktý :D
1:42:32 | [CMD] huso608(13) => /etk skin 130
1:42:35 | [LOCAL]DarkFlow(12): :D
1:42:35 | [CMD] DarkFlow(12) => /l :D
1:42:36 | [CMD] huso608(13) => /etk skin 121
1:42:37 | [KAMYONCU] Asi_Kaptan, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 169754$, 1 Skor ve 5 EXP Sure: 563 Saniye
1:42:39 | Asi_Kaptan(16): Guzel O bÝDE 294 Var
1:42:39 | [CMD] Jodor(9) => /myskin 259
1:42:50 | [CMD] huso608(13) => /etk skin 294
1:42:51 | Jodor(9): þortlu ana kuzusu 35 yaþýnda adam çýktý
1:42:55 | [CMD] tavsanpaladin55(15) => /pm 7 100 skor sonra son ranka atlýcam ln
1:42:56 | DarkFlow(12): :D
1:42:58 | [ANTIHACK] Þüpheli [vK]Mecburdum(11) => Hiz-Hilesi
1:42:59 | Konyali42(6): 259 da mi
1:43:1 | [CMD] bay.potiy(10) => /tamir
1:43:1 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:43:2 | [CMD] Jodor(9) => /myskin 264
1:43:3 | [CMD] GSpor1991(8) => /tamir
1:43:5 | [CMD] huso608(13) => /spec 11
1:43:5 | Jodor(9): evet
1:43:7 | [CMD] sezzer(7) => /pm 15 yapalým mý kargo
1:43:10 | Konyali42(6): kb
1:43:12 | [CMD] tavsanpaladin55(15) => /pm 7 ben kargocuyum gel
1:43:15 | [CMD] tavsanpaladin55(15) => /pm 7 yalnýzým
1:43:15 | Jodor(9): þiko palyaço çýktý
1:43:18 | [vK]Mecburdum(11): aa
1:43:20 | [CMD] huso608(13) => /spec 11
1:43:21 | [CMD] tavsanpaladin55(15) => /pm 7 realdeki gibi :(
1:43:22 | Konyali42(6): 249?
1:43:25 | [CMD] [vK]Mecburdum(11) => /motor
1:43:26 | Jodor(9): bakýyorum
1:43:31 | [CMD] sezzer(7) => /pm 15 þu bitsin gelicem knk ayýp olur þimdi
1:43:34 | [CMD] Jodor(9) => /myskin 249
1:43:39 | Konyali42(6): uzun montlu olacak
1:43:40 | Jodor(9): pezo çýktý :D
1:43:40 | [CMD] Asi_Kaptan(16) => /pm 11 nerden kovuldun sen yada sýkýldýn ?
1:43:42 | DarkFlow(12): :d
1:43:43 | Konyali42(6): aynen :d
1:43:44 | Jodor(9): sezzer istediði meslek
1:43:46 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:43:58 | [BAN] huso608(13) [vK]Mecburdum(11)'i 2 gün 0 saat banladý. Sebep: Hile Yasak Burda Baskan
1:43:58 | [CMD] huso608(13) => /ban 11 2 0 Hile Yasak Burda Baskan
1:43:58 | [vK]Mecburdum(11) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:43:58 | huso608(13) Oduncu olarak spawn oldu.
1:43:59 | DarkFlow(12): pezevenklik :d
1:44:0 | Konyali42(6): beyj uzun montlu =
1:44:4 | [CMD] huso608(13) => /work
1:44:7 | Konyali42(6): beyj uzun montlu ? 249 demi
1:44:8 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:44:9 | [CMD] tavsanpaladin55(15) => /pm 7 tamamdýr pnp
1:44:10 | [CMD] GSpor1991(8) => /tamir
1:44:13 | Jodor(9): aynen
1:44:20 | Konyali42(6): en sevdigim skin :DÖ
1:44:23 | Jodor(9): skin sayýsý söyleyin
1:44:23 | [ANTIHACK] Þüpheli bay.potiy(10) => Can-Hilesi
1:44:26 | [CMD] bay.potiy(10) => /tamir
1:44:28 | {FFCC00}bay.potiy(10) {FFFFFF}Kamyoncu olarak spawn oldu.
1:44:29 | [CMD] huso608(13) => /spec 10
1:44:39 | [cCc]HulkHulk[cCc](14): arac res,
1:44:41 | [CMD] huso608(13) => /specoff
1:44:41 | huso608(13) Oduncu olarak spawn oldu.
1:44:42 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
1:44:42 | Jodor(9): konyada escort numalarý yolda sürekli
1:44:43 | [LOCAL]DarkFlow(12): 255 yap :D
1:44:43 | [CMD] DarkFlow(12) => /l 255 yap :D
1:44:46 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
1:44:49 | [CMD] GSpor1991(8) => /tamir
1:44:50 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
1:44:50 | Jodor(9): ezgi gizem buse
1:44:53 | [CMD] huso608(13) => /respawncars
1:44:54 | tavsanpaladin55(15): jodor
1:44:54 | [CMD] huso608(13) => /cantazele
1:44:57 | Jodor(9): kaðýtlar falan
1:45:2 | Jodor(9): efendim
1:45:8 | [CMD] GSpor1991(8) => /tamir
1:45:9 | [CMD] Jodor(9) => /myskin 87
1:45:12 | [CMD] [cCc]HulkHulk[cCc](14) => /cevir
1:45:12 | tavsanpaladin55(15): big smoke un skin ýd'sini biliyomusun
1:45:13 | [LOCAL]DarkFlow(12): :D
1:45:13 | [CMD] DarkFlow(12) => /l :D
1:45:15 | Jodor(9): vuu sezzer
1:45:19 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:45:19 | Jodor(9): otusbirci sezzer
1:45:27 | sezzer(7): 87 nin noldunu bilerek yazdým :D
1:45:27 | [CMD] tavsanpaladin55(15) => /work
1:45:29 | Jodor(9): anlaþýldý niye o skini seçtðin :D
1:45:30 | [CMD] bay.potiy(10) => /resccue
1:45:31 | DarkFlow(12): sezer buna bakarak asýlýyo :D
1:45:36 | [CMD] bay.potiy(10) => /rescue
1:45:43 | [CMD] Konyali42(6) => /c bekle lo
1:45:47 | [CMD] sezzer(7) => /c giþdede knk
1:45:49 | [CMD] Asi_Kaptan(16) => /work
1:45:49 | [CMD] Jodor(9) => /myskin 255
1:45:50 | [CMD] huso608(13) => /work
1:45:59 | Jodor(9): bugün yazdým unuttum
1:45:59 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:46:0 | [CMD] tavsanpaladin55(15) => /djler
1:46:4 | [LOCAL]DarkFlow(12): 155 yap :D
1:46:4 | [CMD] DarkFlow(12) => /l 155 yap :D
1:46:6 | [CMD] Jodor(9) => /myskin 155
1:46:10 | DarkFlow(12): 7l :D
1:46:11 | [CMD] Jodor(9) => /myskin 153
1:46:11 | [LOCAL]DarkFlow(12): :D
1:46:11 | [CMD] DarkFlow(12) => /l :D
1:46:12 | [CMD] huso608(13) => /animlist
1:46:12 | [CMD] Asi_Kaptan(16) => /pm 9 hacý sen nasýl skýn degistiriyorsun ?
1:46:16 | [CMD] Jodor(9) => /myskin 175
1:46:17 | [CMD] sezzer(7) => /c 19 m görünüyo ama yoksun lan
1:46:21 | [CMD] Jodor(9) => /myskin 177
1:46:25 | [CMD] Jodor(9) => /myskin 179
1:46:27 | [CMD] Konyali42(6) => /c ön arka yap
1:46:29 | [CMD] Jodor(9) => /myskin 165
1:46:31 | [CMD] sezzer(7) => /c heh
1:46:33 | [CMD] sezzer(7) => /c göründü
1:46:34 | [CMD] GSpor1991(8) => /tamir
1:46:37 | [CMD] Jodor(9) => /pm 16 viplere özel
1:46:41 | [CMD] huso608(13) => /elsalla
1:46:43 | [CMD] huso608(13) => /elsalla
1:46:46 | [CMD] Jodor(9) => /myskin 152
1:46:58 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:47:0 | [CMD] Jodor(9) => /myskin 150
1:47:2 | [CMD] Asi_Kaptan(16) => /pm 9 ucretsiz mi verdiler sana ?
1:47:4 | [CMD] huso608(13) => /animkapat
1:47:5 | [CMD] Jodor(9) => /myskin 178
1:47:8 | [CMD] huso608(13) => /animlist
1:47:9 | [CMD] Konyali42(6) => /c aynisi bendede oluyor
1:47:14 | Jodor(9): 178 de fena sezzer
1:47:19 | [CMD] huso608(13) => /saplakat
1:47:20 | [CMD] Asi_Kaptan(16) => /pm 9 sirketle ?
1:47:21 | [LOCAL]DarkFlow(12): 70 yapsanma doktor :D
1:47:21 | [CMD] DarkFlow(12) => /l 70 yapsanma doktor :D
1:47:22 | [CMD] Jodor(9) => /pm 16 parayla ya :)
1:47:25 | sezzer(7): single de bakarým :D
1:47:32 | [CMD] Jodor(9) => /pm 16 çok önceden aldým
1:47:34 | [CMD] Asi_Kaptan(16) => /pm 9 degmez :D
1:47:37 | [CMD] huso608(13) => /saplakat
1:47:41 | [CMD] huso608(13) => /saplakat
1:47:44 | Jodor(9): hopp huso :D
1:47:46 | [CMD] huso608(13) => /saplakat
1:47:53 | Jodor(9): tokat show :D
1:47:55 | [CMD] huso608(13) => /work
1:47:59 | [CMD] Asi_Kaptan(16) => /pm 9 kac gun kaldý bitmesine ?
1:48:1 | [LOCAL]DarkFlow(12): 92 yap
1:48:1 | [CMD] DarkFlow(12) => /l 92 yap
1:48:1 | [CMD] Jodor(9) => /myskin 70
1:48:7 | [CMD] Jodor(9) => /myskin 92
1:48:9 | [LOCAL]DarkFlow(12): :D
1:48:9 | [CMD] DarkFlow(12) => /l :D
1:48:15 | bay.potiy(10): beyler 3 teki süpriz geçerlimi hala
1:48:22 | [CMD] Jodor(9) => /pm 16 /vipler 
1:48:28 | huso608(13): yok baskan oyle bisey
1:48:29 | [CMD] Asi_Kaptan(16) => /vipler
1:48:37 | [CMD] GSpor1991(8) => /meslek
1:48:39 | [CMD] GSpor1991(8) => /meslek
1:48:40 | [CMD] GSpor1991(8) => /meslek
1:48:44 | [CMD] GSpor1991(8) => /meslek
1:48:45 | [CMD] GSpor1991(8) => /meslek
1:48:45 | GSpor1991(8) Mafya olarak spawn oldu.
1:48:47 | [CMD] GSpor1991(8) => /meslek
1:48:48 | bay.potiy(10): nee
1:48:48 | [CMD] sezzer(7) => /c knk bu bitince az tavþana yardým etcem
1:48:52 | [CMD] sezzer(7) => /c kargocuda
1:48:53 | [CMD] Asi_Kaptan(16) => /pm 9 seni es gecmisler galiba :d
1:48:56 | Jodor(9): 3 teki sürpiz ne ya
1:48:57 | [CMD] GSpor1991(8) => /kemer
1:48:57 | [CMD] Konyali42(6) => /c bende bundan sonra cikacam knk :D
1:49:0 | [CMD] Jodor(9) => /vipler
1:49:4 | [CMD] sezzer(7) => /c tmm knk :D
1:49:4 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:49:11 | [CMD] GSpor1991(8) => /modifiye
1:49:12 | [CMD] Jodor(9) => /pm 16 nasýl anlamadým :)
1:49:12 | bay.potiy(10): e yazýyolardý o kadar
1:49:16 | [CMD] tavsanpaladin55(15) => /tamir
1:49:23 | huso608(13): espri amaclý geyik tarzý oyunu hareketlendirmek
1:49:25 | [CMD] Asi_Kaptan(16) => /pm 9 bildigim bileli vipsin nerde ise :D
1:49:30 | nefariouss(17): r/tamir
1:49:30 | huso608(13): saka yaný
1:49:32 | [cCc]HulkHulk[cCc](14): al iþte
1:49:33 | huso608(13):   /tamir
1:49:35 | [CMD] nefariouss(17) => /tamir
1:49:37 | [LOCAL]DarkFlow(12): 237 yap
1:49:37 | [CMD] DarkFlow(12) => /l 237 yap
1:49:39 | [CMD] GSpor1991(8) => /modifiye
1:49:39 | [CMD] Jodor(9) => /pm 16 3 aylýk vip ya
1:49:40 | [CMD] huso608(13) => /work
1:49:46 | [CMD] Jodor(9) => /pm 16 son bi ay kaldý
1:49:47 | [CMD] tavsanpaladin55(15) => /work
1:49:49 | [CMD] Asi_Kaptan(16) => /pm 9 ne kadar verdin 3 aya ?
1:49:53 | [CMD] Jodor(9) => /myskin 237
1:49:59 | [LOCAL]DarkFlow(12): off :D
1:49:59 | [CMD] DarkFlow(12) => /l off :D
1:50:1 | [CMD] Jodor(9) => /pm 16 30 tal
1:50:2 | bay.potiy(10): valla kaç saatir beklyiom þaka oldunu niye demiyon yaw
1:50:5 | [LOCAL]huso608(13): ates ediyor
1:50:5 | [CMD] huso608(13) => /l ates ediyor
1:50:7 | nefariouss(17): hüso ben evimi kaybettim moruq nasýl bulacam
1:50:8 | [CMD] Jodor(9) => /pm 16 þimdi 60 olmuþ
1:50:8 | [LOCAL]DarkFlow(12): :D
1:50:8 | [CMD] DarkFlow(12) => /l :D
1:50:22 | [CMD] Jodor(9) => /uzan
1:50:24 | [CMD] DarkFlow(12) => /saat 7
1:50:27 | huso608(13): aractýrýp bulacaksýn
1:50:33 | huso608(13): komutu yok yani
1:50:34 | [CMD] Jodor(9) => /myskin 3
1:50:36 | [LOCAL]DarkFlow(12): jodor ss aldým :D
1:50:36 | [CMD] DarkFlow(12) => /l jodor ss aldým :D
1:50:40 | [CMD] tavsanpaladin55(15) => /cevir
1:50:45 | [LOCAL]Jodor(9): asýlýrsýn artýk skine :D
1:50:45 | [CMD] Jodor(9) => /l asýlýrsýn artýk skine :D
1:50:47 | [CMD] sezzer(7) => /tamir
1:50:50 | [LOCAL]DarkFlow(12): D:D
1:50:50 | [CMD] DarkFlow(12) => /l D:D
1:50:50 | [LOCAL]Jodor(9): hahaha
1:50:50 | [CMD] Jodor(9) => /l hahaha
1:50:51 | [LOCAL]huso608(13): puhh
1:50:51 | [CMD] huso608(13) => /l puhh
1:50:57 | [LOCAL]Jodor(9): bomba bi espiri :D
1:50:57 | [CMD] Jodor(9) => /l bomba bi espiri :D
1:51:8 | [LOCAL]Jodor(9): haha
1:51:8 | [CMD] Jodor(9) => /l haha
1:51:10 | [CMD] [cCc]HulkHulk[cCc](14) => /cevir
1:51:27 | [CMD] Jodor(9) => /sirket 
1:51:32 | [CMD] huso608(13) => /myskin 99
1:51:32 | [LOCAL]DarkFlow(12): 217 en sevdigim skin :D
1:51:32 | [CMD] DarkFlow(12) => /l 217 en sevdigim skin :D
1:51:34 | [CMD] GSpor1991(8) => /tamir
1:51:34 | [CMD] [cCc]HulkHulk[cCc](14) => /tamir
1:51:36 | [CMD] huso608(13) => /myskin 90
1:51:36 | Asi_Kaptan(16): Mapý Gezerek Bulabilirsin
1:51:49 | sezzer(7): eyw knk
1:51:50 | [LOCAL]Jodor(9): bu þirkette sýfýr olanlar bi konuþmak lazým :)
1:51:50 | [CMD] Jodor(9) => /l bu þirkette sýfýr olanlar bi konuþmak lazým :)
1:51:56 | [LOCAL]Jodor(9): kaç zamandýr þirketteler iþ yok
1:51:56 | [CMD] Jodor(9) => /l kaç zamandýr þirketteler iþ yok
1:51:58 | [LOCAL]DarkFlow(12): 217 yapsana :D
1:51:58 | [CMD] DarkFlow(12) => /l 217 yapsana :D
1:51:59 | [CMD] huso608(13) => /odunsat
1:52:2 | [LOCAL]DarkFlow(12): :D
1:52:2 | [CMD] DarkFlow(12) => /l :D
1:52:4 | [CMD] DarkFlow(12) => /sirket
1:52:5 | [CMD] Jodor(9) => /myskin 217
1:52:15 | [LOCAL]Jodor(9): bu herif kim
1:52:15 | [CMD] Jodor(9) => /l bu herif kim
1:52:19 | [CMD] huso608(13) => /dans
1:52:20 | [LOCAL]DarkFlow(12): 2 kiþi var
1:52:20 | [CMD] DarkFlow(12) => /l 2 kiþi var
1:52:23 | [CMD] huso608(13) => /danst/respawncars
1:52:24 | [CMD] DarkFlow(12) => /sirket
1:52:28 | [CMD] Asi_Kaptan(16) => /pm 13 gspor1991 Biraz Takip Eder Misin
1:52:29 | [CMD] huso608(13) => /dans2
1:52:35 | [CMD] huso608(13) => /dans 2
1:52:36 | Konyali42(6): bas hadi bas iyiyce  yavasladin :D
1:52:41 | [CMD] Jodor(9) => /31
1:52:44 | [CMD] huso608(13) => /pm 16 ne konuda
1:52:46 | [CMD] tavsanpaladin55(15) => /skapat
1:52:48 | [CMD] Jodor(9) => /animkapat
1:52:49 | [LOCAL]DarkFlow(12): 10 ile 8 galiba bakmadým 
1:52:49 | [CMD] DarkFlow(12) => /l 10 ile 8 galiba bakmadým 
1:52:49 | [CMD] Asi_Kaptan(16) => /pm 13 hile olabilir 
1:52:50 | [CMD] huso608(13) => /dans 4
1:52:50 | [CMD] bay.potiy(10) => /motor
1:52:51 | GSpor1991(8): araç res
1:52:54 | [CMD] bay.potiy(10) => /motor
1:52:56 | [CMD] sezzer(7) => /c hadi ben kaçar knk
1:52:57 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
1:52:59 | [CMD] bay.potiy(10) => /engine
1:53:0 | [CMD] bay.potiy(10) => /engine
1:53:0 | [CMD] DarkFlow(12) => /yerbul 10
1:53:1 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
1:53:1 | [CMD] Konyali42(6) => /c bende
1:53:1 | [CMD] bay.potiy(10) => /engine
1:53:3 | [CMD] Jodor(9) => /myskin 177
1:53:3 | [CMD] bay.potiy(10) => /engine
1:53:3 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
1:53:4 | [CMD] bay.potiy(10) => /engine
1:53:4 | [CMD] bay.potiy(10) => /engine
1:53:5 | [CMD] huso608(13) => /respawncars
1:53:6 | [CMD] huso608(13) => /cantazele
1:53:6 | [CMD] Jodor(9) => /myskin 77
1:53:6 | [CMD] sezzer(7) => /c iyi geceler
1:53:9 | [CMD] Konyali42(6) => /sirket
1:53:10 | [CMD] bay.potiy(10) => /motor
1:53:11 | [LOCAL]Jodor(9): bu nasýl
1:53:11 | [CMD] Jodor(9) => /l bu nasýl
1:53:18 | bay.potiy(10): huso nerde ucuz ev var
1:53:18 | [LOCAL]DarkFlow(12): fena :D
1:53:18 | [CMD] DarkFlow(12) => /l fena :D
1:53:20 | [CMD] huso608(13) => /spec 8
1:53:21 | [CMD] bay.potiy(10) => /motor
1:53:21 | [CMD] tavsanpaladin55(15) => /pm 7 kaç dakikaya gelebilirsin
1:53:22 | [CMD] bay.potiy(10) => /motor
1:53:24 | [CMD] tavsanpaladin55(15) => /pm 7 kank
1:53:24 | [CMD] Konyali42(6) => /c toplam 14m kasmisim simdiye kadar
1:53:25 | [CMD] bay.potiy(10) => /motor
1:53:27 | huso608(13): baskan arastýrman gerek
1:53:28 | [CMD] sezzer(7) => /pm 15 þimdi geliyom
1:53:28 | [CMD] Konyali42(6) => /c sirkete 
1:53:33 | [CMD] sezzer(7) => /c hll knk
1:53:36 | [CMD] sezzer(7) => /convoyayril
1:53:37 | [LOCAL]DarkFlow(12): 10 degilmiþ :D 
1:53:37 | [CMD] DarkFlow(12) => /l 10 degilmiþ :D 
1:53:38 | [CMD] sezzer(7) => /meslek
1:53:39 | [CMD] bay.potiy(10) => /engine
1:53:41 | [CMD] bay.potiy(10) => /engine
1:53:41 | 
1:53:41 | [CMD] bay.potiy(10) => /engine
1:53:42 | [CMD] bay.potiy(10) => /engine
1:53:42 | [CMD] Jodor(9) => /myskin 101
1:53:43 | [CMD] bay.potiy(10) => /engine
1:53:43 | [CMD] bay.potiy(10) => /engine
1:53:44 | [CMD] sezzer(7) => /rescue
1:53:44 | [CMD] bay.potiy(10) => /engine
1:53:44 | [CMD] bay.potiy(10) => /engine
1:53:45 | [CMD] bay.potiy(10) => /engine
1:53:46 | Konyali42(6): hadi ben kacar
1:53:47 | [CMD] Konyali42(6) => /adminol
1:53:49 | Konyali42(6): bb
1:53:49 | sezzer(7): bb
1:53:50 | tavsanpaladin55(15): bb
1:53:51 | [CMD] bay.potiy(10) => /engine
1:53:52 | [CMD] bay.potiy(10) => /engine
1:53:52 | [CMD] bay.potiy(10) => /engine
1:53:53 | sezzer(7): geldim tavo
1:53:54 | Konyali42(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:53:54 | [CMD] Jodor(9) => /myskin 107
1:53:55 | GSpor1991(8): bb
1:53:57 | [CMD] tavsanpaladin55(15) => /tamir
1:53:59 | [CMD] Jodor(9) => /myskin 108
1:54:0 | [CMD] bay.potiy(10) => /modifiye
1:54:1 | [CMD] sezzer(7) => /araba
1:54:5 | [CMD] huso608(13) => /pm 16 zaten ýzlýyorum sw yi problem olsa gorurum sagolasýn 
1:54:5 | [CMD] Jodor(9) => /myskin 105
1:54:9 | [CMD] huso608(13) => /specoff
1:54:9 | huso608(13) Oduncu olarak spawn oldu.
1:54:10 | [CMD] Jodor(9) => /myskin 106
1:54:16 | [CMD] huso608(13) => /work
1:54:17 | Asi_Kaptan(16): SF Bak Bay.Potiy
1:54:21 | [CMD] Jodor(9) => /report 12 deatmatch 
1:54:25 | [CMD] tavsanpaladin55(15) => /modifiye
1:54:27 | [LOCAL]Jodor(9): seni þiakyet ettim
1:54:27 | [CMD] Jodor(9) => /l seni þiakyet ettim
1:54:31 | [LOCAL]huso608(13): ciddimisin
1:54:31 | [CMD] huso608(13) => /l ciddimisin
1:54:32 | [LOCAL]sezzer(7): ben sürem mi
1:54:32 | [CMD] sezzer(7) => /l ben sürem mi
1:54:33 | [LOCAL]Jodor(9): :D 
1:54:33 | [CMD] Jodor(9) => /l :D 
1:54:35 | [CMD] bay.potiy(10) => /tamir
1:54:36 | [LOCAL]tavsanpaladin55(15): tabi ki
1:54:36 | [CMD] tavsanpaladin55(15) => /l tabi ki
1:54:36 | [LOCAL]Jodor(9): evet
1:54:36 | [CMD] Jodor(9) => /l evet
1:54:38 | [LOCAL]sezzer(7): adam
1:54:38 | [CMD] sezzer(7) => /l adam
1:54:41 | [CMD] sezzer(7) => /work
1:54:46 | [LOCAL]DarkFlow(12): evet bende 
1:54:46 | [CMD] DarkFlow(12) => /l evet bende 
1:54:47 | [LOCAL]sezzer(7): geldi mi
1:54:47 | [CMD] sezzer(7) => /l geldi mi
1:54:52 | [LOCAL]tavsanpaladin55(15): ney
1:54:52 | [CMD] tavsanpaladin55(15) => /l ney
1:54:55 | [LOCAL]sezzer(7): görev
1:54:55 | [CMD] sezzer(7) => /l görev
1:54:56 | [CMD] huso608(13) => /jail 12 250 Dm
1:54:57 | [CMD] Jodor(9) => /myskin 100
1:54:58 | [LOCAL]tavsanpaladin55(15): ne görevi
