0:0:1 | Axefi(21): :D
14:14:17 | [CMD] Chilgin[byhack](17) => /a la bu kac görev yaptýðýmz sw de bakýlýyomuydu la
14:14:17 | [CMD] testere151(7) => /adminol
14:14:18 | [eN]Overlord(0) oyundan cIktI (Hata/Crash) (IP: 78.191.244.194)
14:14:18 | [CMD] huseyin(16) => /vtamir
14:14:19 | [CMD] H.R.N.(13) => /work
14:14:21 | [CMD] huseyin(16) => /a :D
14:14:23 | [CMD] huseyin(16) => /a /stats
14:14:23 | testere151(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:14:29 | Kraply(15): djde yoktu dj sonradan geldi
14:14:30 | [CMD] Chilgin[byhack](17) => /a haa orda yazýyomumu
14:14:35 | [SWAT]DeaD[POH](9): +
14:14:36 | Kraply(15): vip rehber admin vardý diye hatýrlýym
14:14:37 | [CMD] H.R.N.(13) => /asiriyuk
14:14:40 | [CMD] Chilgin[byhack](17) => /stats
14:14:45 | [CMD] huseyin(16) => /dtemizle 
14:14:45 | [CMD] huseyin(16) => /asay2 s  
14:14:48 | [eN]Overlord(0) oyuna girdi [IP: 78.191.244.194]
14:14:57 | [CMD] huseyin(16) => /respawn 452 
14:14:58 | [SirketCHT] H.R.N.(13): ! kaç veriyodu o baþarým 1k skor 1m paramý
14:14:59 | [CMD] Emirbaba3373(11) => /asiriyuk
14:14:59 | [CMD] huseyin(16) => /rescue
14:15:1 | Axefi(10): of warehouse diye dock a gelmiþim
14:15:4 | [SirketCHT] huseyin(16): ! 240 saat mý 
14:15:8 | Kraply(15): xd
14:15:8 | [SirketCHT] H.R.N.(13): ! eet
14:15:9 | [CMD] huseyin(16) => /aka 10
14:15:11 | [CMD] Chilgin[byhack](17) => /basraimlar
14:15:11 | Axefi(10): ilk kavþaktanmý dönülüyor
14:15:11 | [CMD] DarkFlow(12) => /meslek
14:15:14 | [SirketCHT] huseyin(16): ! 1k skor 10m para
14:15:15 | {FFCC00}DarkFlow(12) {FFFFFF}Kamyoncu olarak spawn oldu.
14:15:17 | [CMD] Chilgin[byhack](17) => /basarimlar
14:15:20 | Hic(7) oyuna girdi [IP: 88.253.177.101]
14:15:20 | [SirketCHT] H.R.N.(13): ! uuuuuuvvvvvvv
14:15:21 | [SirketCHT] huseyin(16): ! bide exp
14:15:22 | [CMD] DarkFlow(12) => /rescue
14:15:24 | [SirketCHT] huseyin(16): ! 200 filan mý ney
14:15:32 | 
14:15:32 | [CMD] huseyin(16) => /basarimlar
14:15:33 | [CMD] H.R.N.(13) => /basarimlar
14:15:36 | [CMD] H.R.N.(13) => /stats
14:15:37 | Kraply(15): can res
14:15:38 | [CMD] Chilgin[byhack](17) => /meslek
14:15:39 | [CMD] huseyin(16) => /cantazele
14:15:41 | Chilgin[byhack](17) Pizzaci olarak spawn oldu.
14:15:43 | [CMD] huseyin(16) => /car Hydra 0 0 
14:15:49 | [CMD] DarkFlow(12) => /kemer
14:15:51 | [CMD] DarkFlow(12) => /motor
14:15:52 | [SirketCHT] H.R.N.(13): ! bugün 220 filan olur sonra bakiciz artýk
14:15:54 | Axefi(10):  araç tamir pls 
14:15:57 | [CMD] Chilgin[byhack](17) => /a baþarým kasam biraz
14:15:58 | huseyin(16):  /tamir
14:16:1 | [CMD] huseyin(16) => /a :d
14:16:4 | [CMD] [SWAT]DeaD[POH](9) => /tamir
14:16:4 | [CMD] Chilgin[byhack](17) => /work
14:16:6 | [CMD] Axefi(10) => /tamir 
14:16:9 | [CMD] Zeki_Sonmez(6) => /icerigir
14:16:9 | Axefi(10): okey
14:16:10 | Hic(7) Pizzaci olarak spawn oldu.
14:16:12 | [CMD] Hic(7) => /sa
14:16:14 | [CMD] Hic(7) => /sac
14:16:14 | [CMD] Chilgin[byhack](17) => /as
14:16:15 | Hic(7): .
14:16:15 | [CMD] huseyin(16) => /as
14:16:15 | [CMD] H.R.N.(13) => /as
14:16:15 | [CMD] Axefi(10) => /as
14:16:19 | [CMD] DarkFlow(12) => /as
14:16:19 | [CMD] Kraply(15) => /meslek
14:16:21 | H.R.N.(13): dütdütdüt
14:16:22 | [CMD] [SWAT]DeaD[POH](9) => /as
14:16:24 | {FFCC00}Kraply(15) {FFFFFF}Pilot olarak spawn oldu.
14:16:25 | [CMD] Chilgin[byhack](17) => /asay VIP-SIRKET-GISE Vb.Ürünlerden Satýn Almak Ýsteyenler Forumdan Alabilirsiniz www.trucksamp.com 
14:16:26 | [CMD] Hic(7) => /rescue
14:16:27 | [CMD] Chilgin[byhack](17) => /cantazele
14:16:30 | [SWAT]DeaD[POH](9): fakir geldi QWE:sada
14:16:34 | [CMD] Hic(7) => /stats
14:16:38 | [CMD] DarkFlow(12) => /work
14:16:38 | Zeki_Sonmez(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:16:42 | [CMD] Kraply(15) => /kemer
14:16:42 | [SWAT]DeaD[POH](9): hic
14:16:44 | [CMD] huseyin(16) => /dtemizle 
14:16:44 | [CMD] huseyin(16) => /asay2 s  
14:16:45 | Hic(7): ?
14:16:46 | [SWAT]DeaD[POH](9): qnq nassin:D
14:16:51 | Hic(7): Eyiyim sen nassýn 
14:16:54 | [CMD] Hic(7) => /sirket
14:16:55 | [SWAT]DeaD[POH](9): iyi
14:16:58 | [CMD] H.R.N.(13) => /asay www.trucksamp.com
14:17:10 | [CMD] huseyin(16) => /cleanupcars
14:17:13 | [CMD] [SWAT]DeaD[POH](9) => /pm 7 dun girdinmi sen
14:17:13 | [CMD] DarkFlow(12) => /asiriyuk
14:17:15 | [CMD] DarkFlow(12) => /asiriyuk
14:17:19 | [CMD] Hic(7) => /pm 9 Girdim
14:17:23 | [CMD] huseyin(16) => /evisil 200 
14:17:25 | [CMD] huseyin(16) => /eviolustur
14:17:28 | [CMD] [SWAT]DeaD[POH](9) => /pm 7 he tamam vip vardida
14:17:29 | [SirketCHT] Hic(7): ! Ula Þirket yetkilisi olmuþum
14:17:30 | [CMD] huseyin(16) => /eviolustur 15000000 12
14:17:31 | [CMD] Kraply(15) => /fps
14:17:33 | [CMD] Kraply(15) => /fps
14:17:34 | [CMD] H.R.N.(13) => /r düt düt düt
14:17:34 | [SirketCHT] [SWAT]DeaD[POH](9): ! evet
14:17:34 | [SirketCHT] Kraply(15): !:D
14:17:36 | [SirketCHT] Kraply(15): !ho
14:17:36 | [CMD] huseyin(16) => /apara 15000000 
14:17:36 | [CMD] [SWAT]DeaD[POH](9) => /sirket
14:17:40 | [CMD] Hic(7) => /r Hen hen düt düt
14:17:43 | [SirketCHT] Hic(7): ! Eyw
14:17:45 | [SirketCHT] Kraply(15): !7m kasman zorunlu 
14:17:45 | [CMD] huseyin(16) => /ev
14:17:46 | [SirketCHT] [SWAT]DeaD[POH](9): ! hic
14:17:47 | [SirketCHT] Kraply(15): !:d
14:17:48 | [SirketCHT] Hic(7): ! _
14:17:51 | [SirketCHT] Kraply(15): !bu haftadan itibaren
14:17:51 | [SirketCHT] Hic(7): ! ?
14:17:52 | [CMD] Chilgin[byhack](17) => /work
14:17:55 | [SirketCHT] [SWAT]DeaD[POH](9): ! ben yaptirdim
14:17:56 | H.R.N.(13): kalk kalk huso
14:18:4 | [KAMYONCU] Axefi, EasterBoard Farm'den Longway Warehouse'e Kurbanlik tasidi. Kazanc: 50453$, 1 Skor ve 5 EXP Sure: 635 Saniye
14:18:6 | H.R.N.(13): zeybek zamaný
14:18:7 | [SirketCHT] [SWAT]DeaD[POH](9): ! sen kas
14:18:8 | [SirketCHT] Hic(7): ! Þu baþarýmýda bi alam kasacam þirkete
14:18:11 | huseyin(16): nayýs
14:18:12 | [CMD] Hic(7) => /kemer
14:18:14 | [CMD] Hic(7) => /work
14:18:16 | [SirketCHT] [SWAT]DeaD[POH](9): ! hangi basarim
14:18:22 | [SirketCHT] Hic(7): ! Pizza
14:18:24 | [CMD] Chilgin[byhack](17) => /a ahh þu karavan bug düzel se tam 
14:18:35 | [CMD] Chilgin[byhack](17) => /work
14:18:36 | [SirketCHT] [SWAT]DeaD[POH](9): ! Tamam kg ama haftaya 4 m falan kas bi
14:18:37 | [CMD] huseyin(16) => /a :D
14:18:37 | Axefi(10): ehliyeti olan varsa dock a gelsin uzun yol konvoyu yapalým
14:18:41 | [CMD] huseyin(16) => /yenilikler
14:18:48 | [CMD] huseyin(16) => /yemek
14:18:50 | [CMD] huseyin(16) => /yemekler
14:18:53 | [KAMYONCU] Yamuk, Longway Warehouse'den Harbour Island Warehouse'e Ofis Esyalari tasidi. Kazanc: 156492$, 1 Skor ve 5 EXP Sure: 428 Saniye
14:18:54 | H.R.N.(13): önce deseydin þimdi çýktým
14:19:1 | [SWAT]DeaD[POH](9): ben geliyom simdi
14:19:3 | [CMD] huseyin(16) => /goto 17 
14:19:5 | [CMD] Emirbaba3373(11) => /modifiyer
14:19:6 | Kraply(15): huseyin abi
14:19:9 | huseyin(16): Evet
14:19:9 | Kraply(15): gelebilirmisn
14:19:10 | [CMD] Chilgin[byhack](17) => /work
14:19:10 | [CMD] Emirbaba3373(11) => /modifiye
14:19:12 | [CMD] huseyin(16) => /goto 15 
14:19:12 | Kraply(15): iþ yeri
14:19:13 | Kraply(15): silinms
14:19:14 | [CMD] Hic(7) => /vipler
14:19:19 | Kraply(15): surdaydý
14:19:19 | [CMD] Emirbaba3373(11) => /meslek
14:19:19 | [LOCAL]huseyin(16): senin mi
14:19:19 | [CMD] huseyin(16) => /l senin mi
14:19:21 | Axefi(10): senle karþýlaþtýðým yerde yolu karýþtýrdým o yüzden geç kaldým ýd 13 :D
14:19:22 | [CMD] H.R.N.(13) => /pcc
14:19:26 | [LOCAL]Kraply(15): alacaktým buybus diyoum
14:19:26 | [CMD] Kraply(15) => /l alacaktým buybus diyoum
14:19:28 | [LOCAL]Kraply(15): almýyodu
14:19:28 | [CMD] Kraply(15) => /l almýyodu
14:19:29 | [LOCAL]huseyin(16): hmm tm
14:19:29 | [CMD] huseyin(16) => /l hmm tm
14:19:30 | [LOCAL]Kraply(15): bugün deniyim dedim
14:19:30 | [CMD] Kraply(15) => /l bugün deniyim dedim
14:19:33 | [LOCAL]huseyin(16): geride dur 
14:19:33 | [CMD] huseyin(16) => /l geride dur 
14:19:36 | [LOCAL]Kraply(15): tmaam
14:19:36 | [CMD] Kraply(15) => /l tmaam
14:19:40 | [CMD] huseyin(16) => /isyeriolustur
14:19:46 | [CMD] huseyin(16) => /isyerisil
14:19:50 | [CMD] huseyin(16) => /isyeriolustur
14:19:50 | [CMD] Chilgin[byhack](17) => /work
14:19:55 | [CMD] huseyin(16) => /isyeriolustur
14:19:57 | [CMD] H.R.N.(13) => /asay /pcc ile chat'i temizleyebilirsiniz.
14:19:59 | [CMD] Hic(7) => /work
14:20:0 | [CMD] [SWAT]DeaD[POH](9) => /djler
14:20:2 | [CMD] huseyin(16) => /isyerisil
14:20:4 | [CMD] huseyin(16) => /isyerisil
14:20:7 | [LOCAL]huseyin(16): buglanmýþ
14:20:7 | [CMD] huseyin(16) => /l buglanmýþ
14:20:9 | [LOCAL]huseyin(16): sonra açarýz
14:20:9 | [CMD] huseyin(16) => /l sonra açarýz
14:20:12 | [CMD] Axefi(10) => /pcc
14:20:12 | [LOCAL]Kraply(15): tamam abi
14:20:12 | [CMD] Kraply(15) => /l tamam abi
14:20:17 | [LOCAL]huseyin(16): gezerek bulabilirsin
14:20:17 | [CMD] huseyin(16) => /l gezerek bulabilirsin
14:20:17 | [CMD] Chilgin[byhack](17) => /work
14:20:17 | [CMD] Kraply(15) => /rescue
14:20:17 | Emirbaba3373(11) Itfaiyeci olarak spawn oldu.
14:20:19 | [SWAT]DeaD[POH](9):  /pcc yazinca kasiyo bilgisayar
14:20:20 | [CMD] Emirbaba3373(11) => /pcc
14:20:29 | [SWAT]DeaD[POH](9): sizdedemi oluyormu
14:20:30 | [CMD] huseyin(16) => /goto chilgin
14:20:31 | H.R.N.(13): o nasýl oluyo
14:20:32 | Chilgin[byhack](17): yok
14:20:33 | [CMD] Hic(7) => /pcc
14:20:36 | [SWAT]DeaD[POH](9): Hm
14:20:37 | [CMD] Chilgin[byhack](17) => /work
14:20:38 | Axefi(10): yok
14:20:40 | Kraply(15): huseyin abi sence kumarhanemi alayým marketmi 
14:20:41 | [SWAT]DeaD[POH](9): Belki bendendir
14:20:46 | [SWAT]DeaD[POH](9): kraply
14:20:47 | H.R.N.(13): kumarhane
14:20:47 | huseyin(16): kumarhane 
14:20:48 | [CMD] Kraply(15) => /kemer
14:20:48 | [SWAT]DeaD[POH](9): kumarhane al
14:20:51 | [CMD] Chilgin[byhack](17) => /work
14:20:51 | Kraply(15): tamam
14:20:54 | Kraply(15): bulabilirsem :d
14:20:57 | [SWAT]DeaD[POH](9): Kumarhane satilir
14:20:59 | [SWAT]DeaD[POH](9): :D
14:21:2 | Kraply(15): kaç m
14:21:3 | Emirbaba3373(11): ne kadar
14:21:7 | Emirbaba3373(11): bana 50m
14:21:7 | [SWAT]DeaD[POH](9): 60 m
14:21:9 | Emirbaba3373(11): deme
14:21:13 | Emirbaba3373(11): kaç lvl
14:21:17 | [CMD] [SWAT]DeaD[POH](9) => /rapor 10 ters serit
14:21:23 | [SWAT]DeaD[POH](9): 1 
14:21:24 | [CMD] huseyin(16) => /spec 10 
14:21:27 | Emirbaba3373(11): 1level 60m
14:21:30 | [SWAT]DeaD[POH](9): evet
14:21:31 | [CMD] huseyin(16) => /uyar 10 Ters Þerit 
14:21:32 | [CMD] Chilgin[byhack](17) => /spec 10
14:21:33 | [CMD] Hic(7) => /kemer
14:21:33 | [CMD] huseyin(16) => /specoff
14:21:33 | huseyin(16) Pizzaci olarak spawn oldu.
14:21:36 | [CMD] Chilgin[byhack](17) => /specoff
14:21:36 | [CMD] Hic(7) => /araba
14:21:36 | Chilgin[byhack](17) Pizzaci olarak spawn oldu.
14:21:37 | [SWAT]DeaD[POH](9): 5 level 120 satan var
14:21:42 | [CMD] huseyin(16) => /spec 9
14:21:42 | Emirbaba3373(11): adamlar 12 10 satýyolar
14:21:43 | [CMD] huseyin(16) => /specoff
14:21:43 | huseyin(16) Pizzaci olarak spawn oldu.
14:21:45 | [CMD] Chilgin[byhack](17) => /work
14:21:45 | [CMD] huseyin(16) => /a þey düzelmiþ
14:21:46 | [SWAT]DeaD[POH](9): 12 mo
14:21:46 | [CMD] Hic(7) => /work
14:21:48 | [CMD] Chilgin[byhack](17) => /a ney
14:21:51 | [CMD] huseyin(16) => /a specden cýkýnca þarký kesiliyordu ya
14:21:51 | [SWAT]DeaD[POH](9): 12 mi
14:21:52 | Emirbaba3373(11): bana satsan keþke
14:21:53 | [CMD] huseyin(16) => /a o düzelmiþ
14:21:54 | [CMD] Hic(7) => /kemer
14:21:55 | [CMD] Chilgin[byhack](17) => /a evt
14:21:56 | [CMD] Hic(7) => /work
14:22:0 | [CMD] huseyin(16) => /a Nays
14:22:1 | Emirbaba3373(11): evet
14:22:2 | [SWAT]DeaD[POH](9): git o 12 satanlardan al
14:22:5 | [CMD] huseyin(16) => /dtemizle 
14:22:5 | [CMD] huseyin(16) => /asay2 s  
14:22:6 | [CMD] huseyin(16) => /araba
14:22:7 | [CMD] Chilgin[byhack](17) => /a dün düzeldi
14:22:12 | [CMD] huseyin(16) => /a Nayýss
14:22:17 | [CMD] huseyin(16) => /rescue
14:22:18 | Hic(7): 1 level 60m Çok fazla Bence
14:22:22 | [CMD] huseyin(16) => /work
14:22:23 | [CMD] Chilgin[byhack](17) => /work
14:22:25 | Kraply(15): lvde bulmak çok zor yaw
14:22:26 | [SWAT]DeaD[POH](9): tamam ne kadar olsun
14:22:27 | [CMD] Emirbaba3373(11) => /meslek
14:22:28 | Axefi(10): ýd 9 benzin alýp dock a geliyorum
14:22:29 | DarkFlow(12): 1 level 20 m olur 
14:22:29 | Zeki_Sonmez(6) oyuna girdi [IP: 78.164.0.120]
14:22:29 | [CMD] Emirbaba3373(11) => /meslek
14:22:34 | Axefi(10): konvoy yapalým
14:22:39 | 
14:22:40 | Hic(7): 60m yaparsan almaz kimse
14:22:42 | {FFCC00}Zeki_Sonmez(6) {FFFFFF}Kamyoncu olarak spawn oldu.
14:22:47 | [CMD] Yamuk(8) => /basarimlar
14:22:58 | Hic(7): 4D Kýtlýðý var ama 60m satmak nedir yaw
14:23:3 | {FFCC00}Emirbaba3373(11) {FFFFFF}Kamyoncu olarak spawn oldu.
14:23:4 | [SWAT]DeaD[POH](9): 50 m satiyorum alan alsin almayanda almasin zaten yerinde duruyor
14:23:5 | Zeki_Sonmez(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:23:10 | [CMD] Chilgin[byhack](17) => /a yee pizza baþrým tamam :d
14:23:15 | [CMD] huseyin(16) => /a :D
14:23:16 | [SWAT]DeaD[POH](9): 5 levl kumarhane 120 m satilir
14:23:18 | [CMD] Yamuk(8) => /stats
14:23:20 | H.R.N.(13): kmürcümü baban senin
14:23:24 | Hic(7): 1 lvl 60 çok
14:23:28 | Emirbaba3373(11): aynen
14:23:33 | Emirbaba3373(11): onu diyom 2saatir
14:23:35 | Kraply(15): 20m ye sat alim
14:23:36 | Hic(7): en fazla 20m olmalý
14:23:37 | [CMD] Emirbaba3373(11) => /kemer
14:23:38 | [CMD] Chilgin[byhack](17) => /a þimd sýra otobusde
14:23:41 | [SWAT]DeaD[POH](9): valla arkadaslar
14:23:43 | [CMD] Chilgin[byhack](17) => /meslek
14:23:45 | {FFCC00}Chilgin[byhack](17) Otobus Soforu olarak spawn oldu.
14:23:53 | [SWAT]DeaD[POH](9): ben bunu 15 m aldim
14:23:56 | [CMD] Yamuk(8) => /basarimlar
14:23:57 | [SWAT]DeaD[POH](9): kaca satim peki
14:23:59 | H.R.N.(13): kim la o tepedeki
14:24:0 | [CMD] Yamuk(8) => /stats
14:24:3 | [SWAT]DeaD[POH](9): 30 m istermisiniz
14:24:6 | Emirbaba3373(11): 1levelik kumarhaneyi 60m ye 10 yýl sonra satarsýn
14:24:9 | [CMD] Hic(7) => /r Bu baþarým kaçta geliyo yaw
14:24:13 | [CMD] Hic(7) => /work
14:24:14 | [SWAT]DeaD[POH](9): emir
14:24:15 | Kraply(15): dead kanka nerden buldn
14:24:16 | Axefi(10): ýd 9 docktamýsýn ?
14:24:17 | [CMD] Chilgin[byhack](17) => /basarim
14:24:17 | [SWAT]DeaD[POH](9): kac verirsin sen
14:24:18 | Emirbaba3373(11): efm
14:24:19 | [CMD] huseyin(16) => /r yap yap
14:24:19 | [CMD] H.R.N.(13) => /r hangisi
14:24:19 | Kraply(15): lvdemi ls demi
14:24:19 | [CMD] Chilgin[byhack](17) => /basarimlar
14:24:23 | [CMD] Hic(7) => /r Pizza
14:24:23 | [SWAT]DeaD[POH](9): lv de
14:24:25 | Emirbaba3373(11): 12m 13 m
14:24:25 | [CMD] huseyin(16) => /basarimlar
14:24:27 | DarkFlow(12): 25 m sat 
14:24:28 | Kraply(15): iyi bulmuþun la
14:24:30 | Emirbaba3373(11): elimden bu gelir
14:24:32 | [SWAT]DeaD[POH](9): 25 m satiyorum
14:24:32 | [CMD] H.R.N.(13) => /r 15 de gelir
14:24:34 | [CMD] Chilgin[byhack](17) => /r 10 da filan gelir
14:24:42 | Kraply(15): param zaten 25mydi :(
14:24:43 | [CMD] Emirbaba3373(11) => /sirketdorse
14:24:44 | [CMD] Chilgin[byhack](17) => /basarimlar
14:24:46 | Kraply(15): nyse kendim bulcam
14:24:55 | [CMD] Chilgin[byhack](17) => /stats
14:24:56 | [SWAT]DeaD[POH](9): Kumarhane satilir 25 m  sistem parasi ayri
14:25:1 | beratyasin(6) oyuna girdi [IP: 78.168.38.80]
14:25:2 | DarkFlow(12): axe yolu aç :D
14:25:2 | [CMD] Chilgin[byhack](17) => /work
14:25:6 | [CMD] Yamuk(8) => /stats
14:25:6 | Axefi(10): açýk ya :D
14:25:11 | 
14:25:15 | DarkFlow(12): beleþci :D
14:25:18 | Axefi(10): hehe :D
14:25:20 | Emirbaba3373(11): bu zamanda kumarhane yok
14:25:21 | [KAMYONCU] H.R.N., Longway Warehouse'den Harbour Island Warehouse'e Elektronik Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 489 Saniye
14:25:22 | {FFCC00}beratyasin(6) {FFFFFF}Kamyoncu olarak spawn oldu.
14:25:23 | [SWAT]DeaD[POH](9): ayn
14:25:24 | [CMD] huseyin(16) => /work
14:25:26 | [KAMYONCU] [SWAT]DeaD[POH], Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 743 Saniye
14:25:31 | Yamuk(8): ./stats mafyaya hiç kasa çaldýrtmamýþým sýz çaltýrtýnýzmý
14:25:37 | [CMD] Chilgin[byhack](17) => /stats
14:25:38 | Axefi(10): konvoy yapalým
14:25:39 | [CMD] beratyasin(6) => /sa
14:25:41 | Hic(7): Ben 1 kere çaldýrmýþým
14:25:42 | [SWAT]DeaD[POH](9): emir sen 15 m aldigin kumarhaneni kaca satardin
14:25:42 | [CMD] huseyin(16) => /as
14:25:43 | [CMD] Hic(7) => /as
14:25:43 | [CMD] Emirbaba3373(11) => /stats
14:25:44 | Yamuk(8): :D
14:25:44 | [CMD] huseyin(16) => /work
14:25:49 | [CMD] Yamuk(8) => /as
14:25:49 | [CMD] Kraply(15) => /as
14:25:51 | [SWAT]DeaD[POH](9): emir sen 15 m aldigin kumarhaneni kaca satardin
14:25:52 | [CMD] Chilgin[byhack](17) => /as
14:25:52 | [CMD] DarkFlow(12) => /as
14:26:1 | [CMD] beratyasin(6) => /work
14:26:1 | Emirbaba3373(11): 20m
14:26:5 | [CMD] huseyin(16) => /work
14:26:8 | [CMD] H.R.N.(13) => /tamir
14:26:10 | [CMD] huseyin(16) => /goreviptal
14:26:11 | [CMD] huseyin(16) => /work
14:26:11 | [CMD] Yamuk(8) => /admins
14:26:15 | [CMD] huseyin(16) => /dtemizle 
14:26:15 | [CMD] huseyin(16) => /asay2 s  
14:26:15 | [CMD] huseyin(16) => /cantazele
14:26:16 | Emirbaba3373(11): yada 16m
14:26:18 | [SWAT]DeaD[POH](9): ya da satmiyom
14:26:23 | Emirbaba3373(11): çunku gitmez kardeþim 
14:26:27 | [SWAT]DeaD[POH](9): gider
14:26:28 | Kraply(15): jollyjoker kaç yýldýr askerde
14:26:36 | [CMD] Hic(7) => /tamir
14:26:37 | Yamuk(8): ahmutu ilk banlayan adminin adýný hatýrlayan varmý
14:26:39 | [CMD] H.R.N.(13) => /sirket
14:26:39 | [CMD] Emirbaba3373(11) => /work
14:26:48 | [SWAT]DeaD[POH](9): huseyin
14:26:50 | huseyin(16): ben
14:26:51 | [CMD] Kraply(15) => /rescue
14:26:57 | Kraply(15): xd
14:26:58 | [CMD] Kraply(15) => /rescue
14:26:58 | [CMD] Hic(7) => /work
14:27:1 | huseyin(16): Bir sorun mu vardý
14:27:3 | [CMD] Emirbaba3373(11) => /modifiye
14:27:5 | Kraply(15): qeqweqw
14:27:5 | [SWAT]DeaD[POH](9): beni ilk defa banlayan
14:27:8 | Axefi(10): darkflow ehliyetin vardý demi
14:27:9 | Yamuk(8): sen degilsin biliyom 1 2 yýl öncede ban yedi ahmut
14:27:12 | DarkFlow(12): evet
14:27:15 | [CMD] Kraply(15) => /kemer
14:27:17 | [SWAT]DeaD[POH](9): beni ilk defa banlayan kim
14:27:20 | huseyin(16): sen þuan kini demiyorsun demi 
14:27:26 | Kraply(15): ahmut dj ahmut deðilmi olm
14:27:26 | huseyin(16): 1-2 öncekini bilmiyom 
14:27:36 | Axefi(10): konvoy kurda
14:27:36 | [SWAT]DeaD[POH](9): kraply
14:27:39 | Kraply(15): hea
14:27:41 | Axefi(10): görev yepelým
14:27:43 | huseyin(16): dj de oldu rehberde adminde oldu sonuna ban yedi 
14:27:45 | [SWAT]DeaD[POH](9): rehberdi galiba
14:27:47 | [SWAT]DeaD[POH](9): dj de oldu
14:27:52 | [KAMYONCU] DarkFlow, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 483 Saniye
14:27:52 | Kraply(15): :D
14:27:53 | [SWAT]DeaD[POH](9): huseyin
14:27:54 | Yamuk(8): hayýr ilk önce rehberdi ozaman ban yemiþti tiger vardý ozaman
14:27:54 | [CMD] Hic(7) => /tamir
14:27:55 | huseyin(16): evet
14:27:55 | [CMD] DarkFlow(12) => /sirket
14:27:58 | Kraply(15): benim oldugum zamanlar djdi
14:27:59 | [SWAT]DeaD[POH](9): biliyormusun onu kim delirtdi
14:28:2 | [CMD] DarkFlow(12) => /convoy
14:28:4 | Emirbaba3373(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:28:4 | huseyin(16): biliyom dead
14:28:11 | [SWAT]DeaD[POH](9): su abim var ya o
14:28:13 | huseyin(16): peki dead
14:28:16 | Kraply(15): naptý
14:28:16 | [SWAT]DeaD[POH](9): tanirsin sen
14:28:17 | Hic(7): lagtest
14:28:21 | huseyin(16): tanýmýyom
14:28:24 | Kraply(15): qweqw
14:28:27 | [CMD] DarkFlow(12) => /t katýl 
14:28:28 | [SWAT]DeaD[POH](9): tanirsin
14:28:28 | Yamuk(8): ahmut server sahibin yaptýklarýný sorguluyor diðe ban yedi
14:28:31 | huseyin(16): ismini duydum da aramda birþey yoktu 
14:28:33 | [OTOBUSCU] Chilgin[byhack], San Fierro Otogar'den Los Santos Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 417 Saniye
14:28:39 | [CMD] Chilgin[byhack](17) => /work
14:28:45 | [CMD] Axefi(10) => /pm 12 kasa gitti :D
14:28:45 | [SWAT]DeaD[POH](9): OD_Gamers 
14:28:49 | Lykia(11) oyuna girdi [IP: 31.223.29.3]
14:28:53 | huseyin(16): hmm 1-2 kez görmüþtüm
14:28:56 | [CMD] huseyin(16) => /a :D
14:28:58 | [CMD] DarkFlow(12) => /pm 10 higwaydan al gel 
14:28:59 | [CMD] Chilgin[byhack](17) => /a :d
14:29:0 | [SWAT]DeaD[POH](9): sw saldirmisti o
14:29:3 | huseyin(16): Dead
14:29:5 | Hic(7): Od_Gamers sýnýrsýz mý yedi ?
14:29:7 | [CMD] Hic(7) => /tamir
14:29:7 | [SWAT]DeaD[POH](9): Buyur?
14:29:8 | Chilgin[byhack](17): evt
14:29:8 | huseyin(16): ben neyden nefret ederim biliyor musun
14:29:10 | [CMD] Chilgin[byhack](17) => /atamir
14:29:14 | [CMD] Axefi(10) => /rescue
14:29:16 | [SWAT]DeaD[POH](9): biliyorum
14:29:16 | Yamuk(8): arda banlamýþtý galiba 
14:29:18 | Lykia(11) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
14:29:22 | [CMD] H.R.N.(13) => /modifiye
14:29:23 | Yamuk(8): mert ola bilir
14:29:26 | huseyin(16): Konusu Kilit olanlarýn Gün yüzüne cýkmasýndan 
14:29:31 | Kraply(15): :D
14:29:34 | [CMD] H.R.N.(13) => /tamir
14:29:36 | [CMD] Hic(7) => /r Heh gedli baþarým lo
14:29:45 | [SWAT]DeaD[POH](9): Valla ne yalan soyluyorum bende oyle ama kendim icin hayir
14:29:45 | [CMD] Axefi(10) => /pm12 olan parayý giþeye verdim :DD
14:29:48 | Kraply(15): aga be
14:29:49 | H.R.N.(13): bahsettiniz arkadaþ geçen gün toplu küfür edip kaçtý fake hesapla
14:29:49 | huseyin(16): dead
14:29:52 | Yamuk(8): eski yönetim kadrosunu bulamýyomki günceli var sitede
14:29:52 | [SWAT]DeaD[POH](9): efm
14:29:52 | huseyin(16): hayatý akýþýna býrak 
14:29:54 | Kraply(15): banlandýgýmda konu bile acamamastým
