0:0:1 | [CMD] Madness(31) => /tamir
8:3:33 | [CMD] [eN]Overlord(7) => /karakol
8:3:36 | [CMD] [eN]Overlord(7) => /cezaode
8:3:45 | [CMD] [eN]Overlord(7) => /basarimlar
8:3:46 | [pG]aLcAtRaZ(6): ok
8:3:48 | [CMD] [pG]aLcAtRaZ(6) => /meslek
8:3:50 | [CMD] [eN]Overlord(7) => /meslek
8:3:52 | [pG]aLcAtRaZ(6) Cöpcü olarak spawn oldu.
8:3:55 | [eN]Overlord(7) Cöpcü olarak spawn oldu.
8:3:59 | [pG]aLcAtRaZ(6): sf
8:4:0 | [pG]aLcAtRaZ(6): gal
8:4:2 | [pG]aLcAtRaZ(6):  /rescue
8:4:2 | [CMD] [eN]Overlord(7) => /rescue
8:4:14 | [CMD] [pG]aLcAtRaZ(6) => /work
8:4:14 | [CMD] [eN]Overlord(7) => /kemer
8:4:26 | [eN]Overlord(7): aga 9 kez daha yaparsam baþarým kazanýp 1k skor olacaðým
8:4:40 | [pG]aLcAtRaZ(6): ok
8:4:46 | [CMD] [pG]aLcAtRaZ(6) => /modifiye
8:6:10 | [CMD] [pG]aLcAtRaZ(6) => /kemer
8:7:51 | [CMD] [pG]aLcAtRaZ(6) => /kemer
8:8:1 | [LOCAL][pG]aLcAtRaZ(6): dalie bin
8:8:1 | [CMD] [pG]aLcAtRaZ(6) => /l dalie bin
8:8:9 | [CMD] [pG]aLcAtRaZ(6) => /kemer
8:8:16 | [LOCAL][pG]aLcAtRaZ(6): bak bana
8:8:16 | [CMD] [pG]aLcAtRaZ(6) => /l bak bana
8:8:27 | [LOCAL][pG]aLcAtRaZ(6): tm
8:8:27 | [CMD] [pG]aLcAtRaZ(6) => /l tm
8:8:32 | [CMD] [pG]aLcAtRaZ(6) => /kemer
8:12:4 | [eN]Overlord(7): aga kolumu kýrýyodum kb
8:12:13 | [LOCAL][eN]Overlord(7): kamyonu uzaklaþtýr
8:12:13 | [CMD] [eN]Overlord(7) => /l kamyonu uzaklaþtýr
8:13:7 | [LOCAL][eN]Overlord(7): diðer yer nerde
8:13:7 | [CMD] [eN]Overlord(7) => /l diðer yer nerde
8:13:17 | [LOCAL][pG]aLcAtRaZ(6): giz li
8:13:17 | [CMD] [pG]aLcAtRaZ(6) => /l giz li
8:13:23 | [LOCAL][eN]Overlord(7): tamamdýr hadi gidelim
8:13:23 | [CMD] [eN]Overlord(7) => /l tamamdýr hadi gidelim
8:13:24 | [LOCAL][pG]aLcAtRaZ(6): G vor
8:13:24 | [CMD] [pG]aLcAtRaZ(6) => /l G vor
8:13:51 | [LOCAL][eN]Overlord(7): ben bi 25 geçe falan hastaneye gideceðim
8:13:51 | [CMD] [eN]Overlord(7) => /l ben bi 25 geçe falan hastaneye gideceðim
8:14:5 | [LOCAL][pG]aLcAtRaZ(6): tm
8:14:5 | [CMD] [pG]aLcAtRaZ(6) => /l tm
8:16:12 | [pG]aLcAtRaZ(6): s
8:16:31 | [LOCAL][eN]Overlord(7): 96k
8:16:31 | [CMD] [eN]Overlord(7) => /l 96k
8:16:33 | [LOCAL][eN]Overlord(7): iyimiþ
8:16:33 | [CMD] [eN]Overlord(7) => /l iyimiþ
8:16:36 | [CMD] [eN]Overlord(7) => /stats
8:16:38 | [pG]aLcAtRaZ(6): evet
8:16:48 | [LOCAL][eN]Overlord(7): daha 8 tane yapmam lazým ya
8:16:48 | [CMD] [eN]Overlord(7) => /l daha 8 tane yapmam lazým ya
8:16:53 | [LOCAL][eN]Overlord(7): yetiþmez ama
8:16:53 | [CMD] [eN]Overlord(7) => /l yetiþmez ama
8:16:56 | [pG]aLcAtRaZ(6): :o
8:16:58 | [pG]aLcAtRaZ(6): :D
8:16:59 | [LOCAL][eN]Overlord(7): eyvallah
8:16:59 | [CMD] [eN]Overlord(7) => /l eyvallah
8:17:1 | [CMD] [pG]aLcAtRaZ(6) => /work
8:17:2 | [LOCAL][eN]Overlord(7): yardýmýn için
8:17:2 | [CMD] [eN]Overlord(7) => /l yardýmýn için
8:17:8 | [LOCAL][eN]Overlord(7): la baþlamýþ
8:17:8 | [CMD] [eN]Overlord(7) => /l la baþlamýþ
8:17:9 | [LOCAL][pG]aLcAtRaZ(6): rica
8:17:9 | [CMD] [pG]aLcAtRaZ(6) => /l rica
8:17:12 | [LOCAL][eN]Overlord(7): .d
8:17:12 | [CMD] [eN]Overlord(7) => /l .d
8:17:25 | [LOCAL][eN]Overlord(7): yol iþçisi baþarýmý gelmeli bence artýk
8:17:25 | [CMD] [eN]Overlord(7) => /l yol iþçisi baþarýmý gelmeli bence artýk
8:17:41 | [CMD] [eN]Overlord(7) => /basarimlar
8:18:17 | [CMD] [eN]Overlord(7) => /kemer
8:18:22 | [CMD] [pG]aLcAtRaZ(6) => /kemer
8:19:2 | [CMD] [pG]aLcAtRaZ(6) => /tamir
8:22:44 | [LOCAL][pG]aLcAtRaZ(6): G
8:22:44 | [CMD] [pG]aLcAtRaZ(6) => /l G
8:22:56 | [CMD] [eN]Overlord(7) => /kemer
8:22:57 | [CMD] [eN]Overlord(7) => /tami
8:22:59 | [CMD] [eN]Overlord(7) => /tamir
8:23:1 | [CMD] [pG]aLcAtRaZ(6) => /tami
8:23:2 | [CMD] [pG]aLcAtRaZ(6) => /tamir
8:23:3 | [CMD] [eN]Overlord(7) => /tamir
8:23:9 | [CMD] [eN]Overlord(7) => /tamir
8:25:14 | [LOCAL][eN]Overlord(7): Eyvallah Allaha Emane Ol
8:25:14 | [CMD] [eN]Overlord(7) => /l Eyvallah Allaha Emane Ol
8:25:17 | [CMD] [eN]Overlord(7) => /adminol
8:25:21 | [eN]Overlord(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
8:25:22 | [pG]aLcAtRaZ(6): bb
8:25:27 | [pG]aLcAtRaZ(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
8:26:47 | nefariouss(6) oyuna girdi [IP: 176.33.253.222]
8:26:55 | 
8:26:58 | {FFCC00}nefariouss(6) {FFFFFF}Pilot olarak spawn oldu.
8:27:49 | [pG]aLcAtRaZ(7) oyuna girdi [IP: 5.235.41.52]
8:28:0 | 
8:28:4 | {FFCC00}[pG]aLcAtRaZ(7) Otobus Soforu olarak spawn oldu.
8:28:9 | [CMD] [pG]aLcAtRaZ(7) => /rescue
8:28:12 | [CMD] [pG]aLcAtRaZ(7) => /sa
8:28:27 | [CMD] [pG]aLcAtRaZ(7) => /kemer
8:28:32 | [CMD] [pG]aLcAtRaZ(7) => /work
8:28:53 | {FFCC00}nefariouss(6) {FFFFFF}Pilot olarak spawn oldu.
8:29:1 | [CMD] nefariouss(6) => /karakol
8:29:8 | [CMD] nefariouss(6) => /cezaode
8:29:14 | [CMD] nefariouss(6) => /meslek
8:29:19 | {FFCC00}nefariouss(6) {FFFFFF}Kamyoncu olarak spawn oldu.
8:29:37 | [CMD] nefariouss(6) => /sirketdorse
8:31:21 | [CMD] nefariouss(6) => /work
8:33:12 | [CMD] nefariouss(6) => /saat 1
8:34:2 | [pG]aLcAtRaZ(7): s
8:34:47 | [CMD] [pG]aLcAtRaZ(7) => /kemer
8:35:27 | [CMD] nefariouss(6) => /asiriyuk
8:38:5 | [CMD] nefariouss(6) => /saat 2
8:38:24 | [CMD] nefariouss(6) => /sac
8:38:58 | [CMD] nefariouss(6) => /hava 8
8:39:17 | [CMD] [pG]aLcAtRaZ(7) => /goreviptal
8:39:20 | [CMD] [pG]aLcAtRaZ(7) => /meslek
8:39:33 | [CMD] nefariouss(6) => /hava 7
8:39:38 | [pG]aLcAtRaZ(7) Pizzaci olarak spawn oldu.
8:39:45 | [CMD] [pG]aLcAtRaZ(7) => /work
8:39:53 | [CMD] [pG]aLcAtRaZ(7) => /kemer
8:39:57 | [CMD] [pG]aLcAtRaZ(7) => /kemer
8:39:57 | [CMD] [pG]aLcAtRaZ(7) => /kemer
8:40:5 | [CMD] [pG]aLcAtRaZ(7) => /modifiye
8:40:23 | [CMD] [pG]aLcAtRaZ(7) => /meslek
8:40:25 | {FFCC00}[pG]aLcAtRaZ(7) {FFFFFF}Polis olarak spawn oldu.
8:40:37 | [CMD] [pG]aLcAtRaZ(7) => /kemer
8:43:20 | [pG]aLcAtRaZ(7): off ela
8:43:23 | [pG]aLcAtRaZ(7): hila vurma
8:46:34 | [KAMYONCU] nefariouss, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 526 Saniye
8:47:54 | [pG]aLcAtRaZ(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
8:48:18 | [CMD] nefariouss(6) => /meslek
8:48:27 | nefariouss(6) Yol Iscisi olarak spawn oldu.
8:49:25 | [CMD] nefariouss(6) => /meslek
8:49:28 | {FFCC00}nefariouss(6) {FFFFFF}Pilot olarak spawn oldu.
8:50:9 | [CMD] nefariouss(6) => /saat 12
8:50:50 | {FFCC00}nefariouss(6) {FFFFFF}Pilot olarak spawn oldu.
8:51:45 | [CMD] nefariouss(6) => /work
8:53:7 | {FFCC00}nefariouss(6) {FFFFFF}Pilot olarak spawn oldu.
8:53:9 | [CMD] nefariouss(6) => /work
8:53:36 | [CMD] nefariouss(6) => /work
8:54:53 | [CMD] nefariouss(6) => /hava 3
8:55:56 | Jey.Bekir(7) oyuna girdi [IP: 95.15.16.33]
8:56:5 | 
8:56:9 | {FFCC00}Jey.Bekir(7) {FFFFFF}Kamyoncu olarak spawn oldu.
8:56:10 | Jey.Bekir(7): sa
8:56:25 | [CMD] Jey.Bekir(7) => /kemer
8:56:34 | nefariouss(6): aleykum selam
8:56:41 | Jey.Bekir(7): þirket seninmi
8:56:51 | [CMD] Jey.Bekir(7) => /sirketdorse
8:56:51 | nefariouss(6): yok iþçiyim
8:57:8 | rawshet_007(8) oyuna girdi [IP: 88.241.64.42]
8:57:10 | [CMD] Jey.Bekir(7) => /work
8:57:28 | 
8:57:31 | Jey.Bekir(7): bende isciyim
8:57:44 | {FFCC00}rawshet_007(8) {FFFFFF}Kamyoncu olarak spawn oldu.
8:58:1 | nefariouss(6): bozok en iyi þirket yanlýz herkez giremez þanslýsýn
8:58:1 | [CMD] rawshet_007(8) => /sirket
8:58:2 | [CMD] Jey.Bekir(7) => /sac
8:58:6 | [CMD] rawshet_007(8) => /sa
8:58:6 | nefariouss(6): :d
8:58:11 | [CMD] Jey.Bekir(7) => /aas
8:58:11 | nefariouss(6): aleykum selam
8:58:13 | [CMD] Jey.Bekir(7) => /as
8:58:19 | [CMD] rawshet_007(8) => /kemer
8:58:19 | Jey.Bekir(7): bi yazamadým /as 
8:58:26 | Jey.Bekir(7): mtadan geldim orda kasmýyo
8:58:58 | Jey.Bekir(7): @6 sansdan bence alakasý yok istersen senide aldýram
8:59:33 | [CMD] rawshet_007(8) => /work
9:0:20 | Jey.Bekir(7): giþe fazla kesyo aq
9:0:58 | nefariouss(6): 2 giþe birdenmi açýyo
9:1:2 | Jey.Bekir(7): ed
9:1:13 | nefariouss(6): ters þeritten geç
9:1:21 | Jey.Bekir(7): :dw
9:1:26 | Jey.Bekir(7): bugmu varki
9:1:35 | nefariouss(6): galiba
9:1:45 | nefariouss(6): Ls ye girerken dimi
9:1:50 | Jey.Bekir(7): abim sw güzel bisiyide
9:1:53 | Jey.Bekir(7): düzgün yapamýyolar
9:1:54 | [CMD] rawshet_007(8) => /modifiye
9:2:4 | nefariouss(6): ufak defek olur
9:2:13 | Jey.Bekir(7): aynen türklerde o skntý var
9:2:18 | Jey.Bekir(7): yapýyoz ama
9:2:22 | Jey.Bekir(7): ufak tefek skntýlar ckyo
9:2:29 | nefariouss(6): yine güzel yapmýþlar
9:2:36 | [CMD] nefariouss(6) => /meslek
9:2:42 | Jey.Bekir(7): aynen  o alt gecit ne mübarek :D
9:2:42 | {FFCC00}nefariouss(6) {FFFFFF}Kamyoncu olarak spawn oldu.
9:3:4 | nefariouss(6): gel konvoy yapalým
9:3:10 | Jey.Bekir(7): yük býrakam
9:3:18 | nefariouss(6): tmam haber ver
9:3:25 | Jey.Bekir(7): sana yazarým
9:3:30 | [CMD] nefariouss(6) => /sirketdorse
9:4:19 | nefariouss(6): harboura gidiyorum bitince gelirsin
9:4:33 | Jey.Bekir(7): aga yeniyim fazla sehirleri blmym :D
9:4:44 | nefariouss(6): rawshet sende gel aga iþin yoksa
9:4:46 | [CMD] rawshet_007(8) => /kener
9:4:59 | nefariouss(6): hacý rescue yazacan en altta harbour :d
9:5:3 | Jey.Bekir(7): sývý nitrojen var eastere býrakcam
9:5:11 | Jey.Bekir(7): tm yükü býrakam
9:6:25 | [CMD] rawshet_007(8) => /kemer
9:6:51 | Jey.Bekir(7): býrakyom 1 sn
9:7:34 | nefariouss(6):  /rescue
9:7:39 | [CMD] rawshet_007(8) => /admins
9:7:48 | nefariouss(6): en altta harbour var
9:7:56 | [CMD] nefariouss(6) => /convoy
9:7:58 | [CMD] rawshet_007(8) => /asistan
9:8:4 | Jey.Bekir(7): 1 sn
9:8:43 | Jey.Bekir(7): dorse cktý buga girdi almýyo
9:8:44 | Jey.Bekir(7): gg
9:8:48 | [CMD] Jey.Bekir(7) => /rescue
9:8:51 | nefariouss(6): geçmiþ olsun
9:8:55 | Jey.Bekir(7): gelyom
9:9:3 | Jey.Bekir(7): bekle
9:9:5 | [CMD] Jey.Bekir(7) => /convoy
9:9:7 | [CMD] rawshet_007(8) => /asiriyuk
9:9:13 | nefariouss(6): býrakamadýnmý yükü :d
9:9:16 | Jey.Bekir(7): yok
9:9:21 | [CMD] Jey.Bekir(7) => /kemer
9:9:30 | Jey.Bekir(7): work *
9:9:34 | nefariouss(6): bekir
9:9:38 | Jey.Bekir(7): ha
9:9:45 | nefariouss(6): þu kapalý kasa týrlardan al
9:9:52 | nefariouss(6): o maden
9:10:5 | [CMD] nefariouss(6) => /modifiye
9:10:13 | Jey.Bekir(7): kalsn :D
9:10:26 | nefariouss(6): bak en saðda
9:10:30 | Jey.Bekir(7): bý
9:10:31 | Jey.Bekir(7): bu
9:10:32 | rawshet_007(8): dörtlü varmýydý oyunda
9:10:33 | Jey.Bekir(7): ?
9:10:34 | Jey.Bekir(7): yok
9:10:41 | nefariouss(6): var
9:10:45 | nefariouss(6): o aynen
9:10:45 | Jey.Bekir(7): hangi tus
9:10:47 | Jey.Bekir(7): blmyom
9:10:54 | [CMD] Jey.Bekir(7) => /kemer
9:10:57 | nefariouss(6): elini gazdan çek 2 ye bas
9:11:2 | rawshet_007(8): eyw 
9:11:3 | Jey.Bekir(7): oys
9:11:10 | Jey.Bekir(7): sag sol ?
9:11:21 | nefariouss(6): elini gazdan çekip q veya e yaparsan sinyal verir
9:11:33 | Jey.Bekir(7): bekle
9:11:35 | Jey.Bekir(7): müzik acam
9:11:40 | [CMD] nefariouss(6) => /work
9:11:40 | [CMD] Jey.Bekir(7) => /sca
9:11:41 | [CMD] rawshet_007(8) => /sac
9:11:42 | [CMD] Jey.Bekir(7) => /sac
9:11:44 | [CMD] rawshet_007(8) => /kar
9:12:9 | nefariouss(6): kazasýz belasýz gidek :d
9:12:20 | [CMD] rawshet_007(8) => /kar
9:12:46 | Jey.Bekir(7): iðns
9:12:48 | Jey.Bekir(7): ins amin
9:12:54 | [CMD] rawshet_007(8) => /sac
9:13:9 | Jey.Bekir(7): yawas bi telefon bakam
9:13:20 | nefariouss(6): acele etme yetiþirsin
9:13:39 | [CMD] nefariouss(6) => /asirisiyuk
9:13:56 | Jey.Bekir(7): telefon müzik acilmiyo ?
9:14:10 | nefariouss(6): takip et hem yolu öðren
9:14:25 | Jey.Bekir(7): 10 km ?
9:14:36 | nefariouss(6): bu neki
9:14:52 | Jey.Bekir(7): km fazla o kadar paramý veryo
9:14:56 | [LOCAL]rawshet_007(8): sa
9:14:56 | [CMD] rawshet_007(8) => /l sa
9:15:3 | nefariouss(6): genelde evet
9:15:12 | nefariouss(6) oyundan cIktI (Hata/Crash) (IP: 176.33.253.222)
9:15:16 | [CMD] rawshet_007(8) => /sac
9:15:20 | Jey.Bekir(7): yük ? gitti
9:16:7 | [CMD] Jey.Bekir(7) => /modifiye
9:16:57 | [CMD] Jey.Bekir(7) => /modifiye
9:17:7 | [CMD] Jey.Bekir(7) => /modifiye
9:17:16 | [CMD] Jey.Bekir(7) => /kemer
9:17:22 | [CMD] Jey.Bekir(7) => /modofiye
9:19:50 | [CMD] rawshet_007(8) => /isyeri
9:20:16 | Maxim_Macarov(6) oyuna girdi [IP: 5.77.26.23]
9:20:35 | {FFCC00}Maxim_Macarov(6) {FFFFFF}Kamyoncu olarak spawn oldu.
9:20:37 | [KAMYONCU] rawshet_007, Antalya Liman'den Emerald Mall'e Spor Aletleri tasidi. Kazanc: 41423$, 1 Skor ve 5 EXP Sure: 510 Saniye
9:20:40 | Maxim_Macarov(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
9:20:46 | [CMD] rawshet_007(8) => /gohome
9:21:20 | [CMD] rawshet_007(8) => /isyeri
9:21:23 | [CMD] rawshet_007(8) => /iþyeri
9:21:34 | rawshet_007(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
9:26:34 | [CMD] Jey.Bekir(7) => /tamir
9:26:53 | BahaBEY(6) oyuna girdi [IP: 212.253.111.25]
9:27:4 | 
9:27:7 | {FFCC00}BahaBEY(6) Otobus Soforu olarak spawn oldu.
9:27:22 | [CMD] BahaBEY(6) => /rescue
9:27:37 | [CMD] BahaBEY(6) => /work
9:27:38 | [CMD] Jey.Bekir(7) => /tamir
9:27:43 | Jey.Bekir(7): insan bi selam verir
9:27:56 | BahaBEY(6): Selamun Aleyküm. :)
9:28:1 | [CMD] Jey.Bekir(7) => /as.
9:28:3 | [CMD] Jey.Bekir(7) => /as
9:28:37 | Jey.Bekir(7): istanbulu bi bulamadýk
9:29:40 | Jey.Bekir(7): heh skr
9:30:21 | [CMD] Jey.Bekir(7) => /convoyayril
9:30:29 | [CMD] Jey.Bekir(7) => /work
9:31:22 | [CMD] Jey.Bekir(7) => /seefar
9:31:25 | [CMD] Jey.Bekir(7) => /seefar 250
9:32:22 | [CMD] BahaBEY(6) => /test
9:34:48 | [CMD] BahaBEY(6) => /goreviptal
9:35:1 | BahaBEY(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
9:35:39 | BahaBEY(6) oyuna girdi [IP: 212.253.111.25]
9:35:47 | 
9:35:57 | {FFCC00}BahaBEY(6) Otobus Soforu olarak spawn oldu.
9:36:5 | [A.s.i]KraL(8) oyuna girdi [IP: 88.233.145.255]
9:36:7 | [CMD] BahaBEY(6) => /rescue
9:36:14 | [CMD] BahaBEY(6) => /test
9:36:14 | 
9:36:19 | {FFCC00}[A.s.i]KraL(8) {FFFFFF}Pilot olarak spawn oldu.
9:36:26 | [CMD] [A.s.i]KraL(8) => /sa
9:36:29 | [CMD] Jey.Bekir(7) => /as
9:36:31 | BahaBEY(6): Aleyküm Selam,hoþgeldiniz.
9:36:37 | [CMD] BahaBEY(6) => /work
9:36:51 | Jey.Bekir(7): bu tünel noldu mübarek bi lv gitcez aq
9:36:56 | [A.s.i]KraL(8): hoþbeldum
9:37:10 | [CMD] Jey.Bekir(7) => /tamir
9:37:19 | [A.s.i]KraL(8): :d
9:37:31 | [A.s.i]KraL(8): yolu kaybetisen yardimci ola bilirim
9:37:39 | Jey.Bekir(7): tünel cok üzün
9:37:40 | [CMD] [A.s.i]KraL(8) => /saat 1
9:37:43 | Jey.Bekir(7): uzun
9:37:43 | [CMD] BahaBEY(6) => /tamir
9:37:46 | [A.s.i]KraL(8): ayn
9:38:4 | Jey.Bekir(7): her yerde calýsma var mübarek bi yol yapmayýn
9:38:20 | [A.s.i]KraL(8): :D
9:38:35 | [A.s.i]KraL(8): yolculuk nere
9:38:38 | Jey.Bekir(7): vatandaþ magdur :D
9:38:42 | Jey.Bekir(7): lv butcher
9:38:55 | Jey.Bekir(7): dedim tünel kýsadýr
9:38:57 | [A.s.i]KraL(8): þurda sin :d
9:39:16 | Jey.Bekir(7): 5dklýk is 20 dk tünel yüzünen
9:39:23 | [A.s.i]KraL(8): :D
9:39:25 | Jey.Bekir(7): ne üstümde süzülyon :D
9:39:32 | [A.s.i]KraL(8): tümele girme
9:39:40 | [A.s.i]KraL(8): tünele
9:39:41 | Jey.Bekir(7): illallah bida girmem 
9:39:56 | Jey.Bekir(7): benim bildgm
9:40:0 | Jey.Bekir(7): tüneller
9:40:0 | [A.s.i]KraL(8): yoldan gel 
9:40:1 | Jey.Bekir(7): kýsa olr
9:40:10 | [A.s.i]KraL(8): :d
9:40:31 | Jey.Bekir(7): skr býraktým
9:40:32 | [CMD] [A.s.i]KraL(8) => /gobur
9:40:33 | [CMD] [A.s.i]KraL(8) => /gobu
9:40:35 | [CMD] Jey.Bekir(7) => /tamir
9:40:40 | [A.s.i]KraL(8): :d 
9:40:44 | [CMD] [A.s.i]KraL(8) => /gobos
9:40:49 | Jey.Bekir(7): bu sefer sf supa verdi
9:40:50 | [CMD] [A.s.i]KraL(8) => /gubos
9:40:52 | [CMD] [A.s.i]KraL(8) => /gubs
9:41:7 | [A.s.i]KraL(8): dükkanlara gitmek için neydi ? biliyon mý
9:41:9 | Jey.Bekir(7): bu saglam
9:41:11 | [CMD] [A.s.i]KraL(8) => /dükkan
9:41:11 | [CMD] BahaBEY(6) => /goreviptal
9:41:15 | Jey.Bekir(7): blmem
9:41:20 | BahaBEY(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
9:41:34 | [A.s.i]KraL(8): ne sagalan
9:41:41 | Jey.Bekir(7): iþi býrakcagým yer
9:41:53 | [A.s.i]KraL(8): :d
9:42:0 | [A.s.i]KraL(8): convoy yapak istersen
9:42:9 | Jey.Bekir(7): 3.5k skor ?
9:42:20 | [A.s.i]KraL(8): bende mý
9:42:23 | Jey.Bekir(7): ed
9:42:26 | [A.s.i]KraL(8): :d
9:42:30 | Jey.Bekir(7): yoh
9:42:32 | Jey.Bekir(7): artýh
9:42:33 | [A.s.i]KraL(8): 4b yapmam lazim
9:42:43 | Jey.Bekir(7): nie
9:42:53 | [A.s.i]KraL(8): özel kuvet olcam
9:43:2 | Jey.Bekir(7): velloo :D
9:43:4 | [A.s.i]KraL(8): :D
9:43:19 | [A.s.i]KraL(8): dükkandaký parali bi toplim
9:43:25 | [CMD] [A.s.i]KraL(8) => /içerigir
9:43:28 | [CMD] [A.s.i]KraL(8) => /icerigir
9:43:30 | Jey.Bekir(7): dükkanmý aldýn ?
9:43:34 | [CMD] [A.s.i]KraL(8) => /isyerimenu
9:43:39 | [CMD] [A.s.i]KraL(8) => /isyerimenu
9:44:20 | Jey.Bekir(7): ne kadar ?
9:44:43 | Jey.Bekir(7): ucuz 
9:44:46 | Jey.Bekir(7): banada bulak
9:44:51 | [A.s.i]KraL(8): yok gece aldim
9:44:55 | [A.s.i]KraL(8): paralri
9:45:2 | [CMD] [A.s.i]KraL(8) => /icerigit
9:45:3 | [CMD] [A.s.i]KraL(8) => /icerigir
9:45:9 | [CMD] [A.s.i]KraL(8) => /isyerimenu
9:45:12 | Jey.Bekir(7): dükkaný
9:45:16 | Jey.Bekir(7): ne kadara aldn
9:45:27 | [A.s.i]KraL(8): 1584000 veriyo normalda o aralar
9:45:32 | [CMD] [A.s.i]KraL(8) => /isyerimenu
9:45:37 | Jey.Bekir(7): anlamadýn :D dükkaný
9:45:40 | Jey.Bekir(7): ne kadara aldnw
9:45:43 | [CMD] Jey.Bekir(7) => /tamir
9:45:46 | [A.s.i]KraL(8): 9m
9:45:51 | Jey.Bekir(7): oys
9:46:13 | [A.s.i]KraL(8): çok para vercen ama bi kez oliyo aldin aldin alamadisan...... :d
9:46:27 | [A.s.i]KraL(8): 3tane var
9:46:38 | Jey.Bekir(7): 3 tane dükkanýnmý var
9:46:43 | [A.s.i]KraL(8): evt
9:46:51 | Jey.Bekir(7): zenginsin desene
9:46:53 | [KAMYONCU] Jey.Bekir, LV Butcher'den SF Supa Save'e Et tasidi. Kazanc: 42435$, 1 Skor ve 5 EXP Sure: 300 Saniye
9:47:5 | [A.s.i]KraL(8): hepsine sabah geziyom topliyom hiç hiç çaliþmama gerek yok :D
9:47:31 | [CMD] Jey.Bekir(7) => /icerigir
9:47:38 | [CMD] [A.s.i]KraL(8) => /icerigir
9:47:43 | [CMD] [A.s.i]KraL(8) => /isyerimenu
9:47:43 | Jey.Bekir(7): bimden bisi alamýyozmu
9:47:53 | [CMD] Jey.Bekir(7) => /isyerimenu
9:47:56 | [A.s.i]KraL(8): :d yok 
9:47:58 | [CMD] [A.s.i]KraL(8) => /isyerimenu
9:47:59 | [CMD] Jey.Bekir(7) => /isyerimenu
9:48:0 | Jey.Bekir(7): :D
9:48:6 | [A.s.i]KraL(8): la gel convoy yapak
9:48:11 | [A.s.i]KraL(8): olur mu
9:48:14 | Jey.Bekir(7): cidden ne kadarýn var
9:48:17 | [CMD] Jey.Bekir(7) => /kemer
9:48:24 | [A.s.i]KraL(8): para olarak mý
9:48:24 | Jey.Bekir(7): kemerin kýsaltýlmýsý ne bide
9:48:27 | Jey.Bekir(7): edd.
9:48:39 | BahaBEY(6) oyuna girdi [IP: 176.88.52.148]
9:48:41 | [CMD] Jey.Bekir(7) => /market
9:48:46 | 
9:48:49 | [A.s.i]KraL(8): 1m var da neden az denme çünkü dükanlari geliþtirdim
9:48:51 | {FFCC00}BahaBEY(6) Otobus Soforu olarak spawn oldu.
9:49:5 | [CMD] BahaBEY(6) => /work
9:49:11 | Jey.Bekir(7): budur bende 218k var
9:49:18 | Jey.Bekir(7): anlican fakirim
9:49:22 | [A.s.i]KraL(8): :D
9:49:32 | Jey.Bekir(7): telefon sarký calmýyo
9:49:34 | [A.s.i]KraL(8): gel convoy i tane yapak iyi para veriyo
9:49:47 | Jey.Bekir(7): nere gelem rescueden
9:49:50 | [A.s.i]KraL(8): bende radiyo çaliyo :D
9:49:50 | [CMD] Jey.Bekir(7) => /rescue
9:49:59 | [A.s.i]KraL(8): tirci ol
9:50:0 | Jey.Bekir(7): sf týr
9:50:1 | [CMD] [A.s.i]KraL(8) => /meslek
9:50:4 | {FFCC00}[A.s.i]KraL(8) {FFFFFF}Kamyoncu olarak spawn oldu.
9:50:5 | Jey.Bekir(7): týrcýyým :D akkýllý
9:50:8 | [CMD] Jey.Bekir(7) => /rescue
9:50:10 | [CMD] [A.s.i]KraL(8) => /rescue
9:50:17 | [A.s.i]KraL(8): sana gel :D
9:50:25 | Jey.Bekir(7): sfdeyim
9:50:36 | Jey.Bekir(7): hangi dorse alam
9:50:37 | [CMD] [A.s.i]KraL(8) => /modifiye
9:50:39 | [CMD] Jey.Bekir(7) => /kemer
9:50:44 | [CMD] Jey.Bekir(7) => /modifiye
9:50:51 | [CMD] [A.s.i]KraL(8) => /kemer
9:50:53 | [CMD] BahaBEY(6) => /skapat
9:50:57 | [CMD] BahaBEY(6) => /sac
9:51:1 | [A.s.i]KraL(8): jantlar nesil :D
9:51:8 | Jey.Bekir(7): s.et jantý
9:51:18 | [A.s.i]KraL(8): :d
9:51:18 | Jey.Bekir(7): convoy yap
9:51:21 | [CMD] [A.s.i]KraL(8) => /convoy
9:51:24 | [A.s.i]KraL(8): katil
9:51:25 | [CMD] Jey.Bekir(7) => /convoy
9:51:29 | [CMD] [A.s.i]KraL(8) => /work
9:51:42 | Jey.Bekir(7): 1sn
9:51:57 | [A.s.i]KraL(8): bekliyom
9:52:12 | [A.s.i]KraL(8): otogardan öikar çikmaz vurdu yaw :D
9:52:31 | [A.s.i]KraL(8): memleket nere 
9:52:45 | Jey.Bekir(7): yawas la :D
9:52:54 | [A.s.i]KraL(8): ora nere la
